date,city,state,url,fuel_type,average,price
2019-11-15,Columbus (GA only),GA,https://gasprices.aaa.com/?state=GA,Mid,Month Ago Avg.,2.717
2019-11-15,Columbus (GA only),GA,https://gasprices.aaa.com/?state=GA,Premium,Month Ago Avg.,3.023
2019-11-15,Columbus (GA only),GA,https://gasprices.aaa.com/?state=GA,Diesel,Month Ago Avg.,2.869
2019-11-15,Columbus (GA only),GA,https://gasprices.aaa.com/?state=GA,Regular,Year Ago Avg.,2.464
2019-11-15,Columbus (GA only),GA,https://gasprices.aaa.com/?state=GA,Mid,Year Ago Avg.,2.843
2019-11-15,Columbus (GA only),GA,https://gasprices.aaa.com/?state=GA,Premium,Year Ago Avg.,3.118
2019-11-15,Columbus (GA only),GA,https://gasprices.aaa.com/?state=GA,Diesel,Year Ago Avg.,3.128
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Regular,Current Avg.,2.357
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Mid,Current Avg.,2.656
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Premium,Current Avg.,2.937
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Diesel,Current Avg.,2.845
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Regular,Yesterday Avg.,2.353
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Mid,Yesterday Avg.,2.655
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Premium,Yesterday Avg.,2.933
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Diesel,Yesterday Avg.,2.848
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Regular,Week Ago Avg.,2.329
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Mid,Week Ago Avg.,2.626
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Premium,Week Ago Avg.,2.942
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Diesel,Week Ago Avg.,2.848
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Regular,Month Ago Avg.,2.354
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Mid,Month Ago Avg.,2.644
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Premium,Month Ago Avg.,2.936
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Diesel,Month Ago Avg.,2.873
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Regular,Year Ago Avg.,2.403
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Mid,Year Ago Avg.,2.706
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Premium,Year Ago Avg.,2.974
2019-11-15,Dalton,GA,https://gasprices.aaa.com/?state=GA,Diesel,Year Ago Avg.,3.108
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Regular,Current Avg.,2.423
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Mid,Current Avg.,2.727
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Premium,Current Avg.,3.035
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Diesel,Current Avg.,2.853
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Regular,Yesterday Avg.,2.426
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Mid,Yesterday Avg.,2.737
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Premium,Yesterday Avg.,3.052
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Diesel,Yesterday Avg.,2.855
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Regular,Week Ago Avg.,2.461
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Mid,Week Ago Avg.,2.754
2019-11-15,Gainesville,GA,https://gasprices.aaa.com/?state=GA,Premium,Week Ago Avg.,3.075
