"","date","regular","mid","premium","diesel","state"
"1",2023-10-08,4.611,4.817,4.98,4.754,"AK"
"2",2023-10-08,3.224,3.628,4.005,4.256,"AL"
"3",2023-10-08,3.284,3.69,4.054,4.21,"AR"
"4",2023-10-08,4.508,4.838,5.123,4.918,"AZ"
"5",2023-10-08,5.811,6.062,6.205,6.42,"CA"
"6",2023-10-08,3.798,4.179,4.467,4.406,"CO"
"7",2023-10-08,3.739,4.289,4.686,4.605,"CT"
"8",2023-10-08,3.78,4.303,4.769,4.656,"DC"
"9",2023-10-08,3.234,3.772,4.092,4.259,"DE"
"10",2023-10-08,3.475,3.891,4.222,4.46,"FL"
"11",2023-10-08,3.156,3.589,3.981,4.178,"GA"
"12",2023-10-08,4.845,5.077,5.316,5.796,"HI"
"13",2023-10-08,3.406,3.757,4.177,4.274,"IA"
"14",2023-10-08,4.066,4.279,4.524,4.787,"ID"
"15",2023-10-08,3.697,4.2,4.635,4.294,"IL"
"16",2023-10-08,3.445,3.961,4.412,4.444,"IN"
"17",2023-10-08,3.52,3.837,4.137,4.284,"KS"
"18",2023-10-08,3.314,3.788,4.199,4.288,"KY"
"19",2023-10-08,3.238,3.62,3.979,4.15,"LA"
"20",2023-10-08,3.699,4.239,4.585,4.534,"MA"
"21",2023-10-08,3.438,3.993,4.298,4.355,"MD"
"22",2023-10-08,3.711,4.129,4.545,4.508,"ME"
"23",2023-10-08,3.587,4.12,4.611,4.372,"MI"
"24",2023-10-08,3.618,3.955,4.348,4.36,"MN"
"25",2023-10-08,3.398,3.738,4.054,4.163,"MO"
"26",2023-10-08,3.161,3.553,3.914,4.085,"MS"
"27",2023-10-08,4.011,4.296,4.592,4.686,"MT"
"28",2023-10-08,3.362,3.765,4.141,4.299,"NC"
"29",2023-10-08,3.754,4.073,4.459,4.395,"ND"
"30",2023-10-08,3.624,3.822,4.268,4.274,"NE"
"31",2023-10-08,3.609,4.067,4.479,4.415,"NH"
"32",2023-10-08,3.55,4.151,4.436,4.504,"NJ"
"33",2023-10-08,3.626,3.974,4.263,4.39,"NM"
"34",2023-10-08,4.926,5.223,5.446,5.205,"NV"
"35",2023-10-08,3.858,4.347,4.719,4.734,"NY"
"36",2023-10-08,3.286,3.756,4.213,4.34,"OH"
"37",2023-10-08,3.435,3.774,4.047,4.184,"OK"
"38",2023-10-08,4.654,4.884,5.1,5.111,"OR"
"39",2023-10-08,3.831,4.236,4.569,4.807,"PA"
"40",2023-10-08,3.641,4.274,4.604,4.524,"RI"
"41",2023-10-08,3.218,3.617,3.985,4.259,"SC"
"42",2023-10-08,3.701,3.917,4.396,4.404,"SD"
"43",2023-10-08,3.253,3.657,4.031,4.241,"TN"
"44",2023-10-08,3.223,3.628,3.963,4.051,"TX"
"45",2023-10-08,4.05,4.29,4.499,4.68,"UT"
"46",2023-10-08,3.467,3.898,4.26,4.346,"VA"
"47",2023-10-08,3.76,4.202,4.612,4.544,"VT"
"48",2023-10-08,5.029,5.291,5.483,5.622,"WA"
"49",2023-10-08,3.332,3.79,4.221,4.134,"WI"
"50",2023-10-08,3.526,3.871,4.219,4.297,"WV"
"51",2023-10-08,3.822,4.065,4.362,4.601,"WY"
