"","date","regular","mid","premium","diesel","state"
"1",2023-04-17,3.882,4.026,4.229,4.295,"AK"
"2",2023-04-17,3.292,3.654,4.02,3.977,"AL"
"3",2023-04-17,3.232,3.588,3.957,3.883,"AR"
"4",2023-04-17,4.548,4.822,5.105,4.582,"AZ"
"5",2023-04-17,4.915,5.117,5.27,5.313,"CA"
"6",2023-04-17,3.578,3.932,4.227,4.143,"CO"
"7",2023-04-17,3.513,3.978,4.38,4.446,"CT"
"8",2023-04-17,3.748,4.288,4.724,4.426,"DC"
"9",2023-04-17,3.566,4.008,4.252,4.088,"DE"
"10",2023-04-17,3.562,3.929,4.252,4.083,"FL"
"11",2023-04-17,3.39,3.752,4.128,4.098,"GA"
"12",2023-04-17,4.78,4.985,5.251,5.91,"HI"
"13",2023-04-17,3.523,3.799,4.264,3.958,"IA"
"14",2023-04-17,3.576,3.768,4.018,4.088,"ID"
"15",2023-04-17,4.07,4.544,4.953,4.205,"IL"
"16",2023-04-17,3.705,4.162,4.596,4.279,"IN"
"17",2023-04-17,3.35,3.629,3.925,3.873,"KS"
"18",2023-04-17,3.46,3.893,4.261,4.068,"KY"
"19",2023-04-17,3.29,3.64,3.999,3.885,"LA"
"20",2023-04-17,3.399,3.906,4.263,4.537,"MA"
"21",2023-04-17,3.616,4.094,4.373,4.144,"MD"
"22",2023-04-17,3.468,3.851,4.211,4.852,"ME"
"23",2023-04-17,3.711,4.173,4.634,4.237,"MI"
"24",2023-04-17,3.601,3.881,4.271,4.133,"MN"
"25",2023-04-17,3.346,3.618,3.937,3.843,"MO"
"26",2023-04-17,3.166,3.525,3.858,3.863,"MS"
"27",2023-04-17,3.426,3.697,3.979,4.107,"MT"
"28",2023-04-17,3.547,3.901,4.254,4.048,"NC"
"29",2023-04-17,3.505,3.774,4.129,4.03,"ND"
"30",2023-04-17,3.523,3.706,4.16,3.922,"NE"
"31",2023-04-17,3.353,3.791,4.168,4.56,"NH"
"32",2023-04-17,3.452,3.946,4.213,4.026,"NJ"
"33",2023-04-17,3.638,3.965,4.253,4.305,"NM"
"34",2023-04-17,4.275,4.516,4.761,4.476,"NV"
"35",2023-04-17,3.616,4.042,4.401,4.82,"NY"
"36",2023-04-17,3.603,4.039,4.47,4.203,"OH"
"37",2023-04-17,3.329,3.66,3.913,3.813,"OK"
"38",2023-04-17,4.04,4.214,4.433,4.58,"OR"
"39",2023-04-17,3.766,4.133,4.436,4.655,"PA"
"40",2023-04-17,3.422,4.011,4.351,4.535,"RI"
"41",2023-04-17,3.399,3.759,4.108,3.921,"SC"
"42",2023-04-17,3.511,3.663,4.113,3.947,"SD"
"43",2023-04-17,3.383,3.765,4.114,3.934,"TN"
"44",2023-04-17,3.363,3.725,4.057,3.704,"TX"
"45",2023-04-17,3.641,3.852,4.05,3.997,"UT"
"46",2023-04-17,3.536,3.922,4.26,4.103,"VA"
"47",2023-04-17,3.492,3.906,4.363,4.358,"VT"
"48",2023-04-17,4.501,4.674,4.88,4.967,"WA"
"49",2023-04-17,3.54,3.954,4.374,3.877,"WI"
"50",2023-04-17,3.569,3.895,4.207,4.256,"WV"
"51",2023-04-17,3.418,3.654,3.893,4.234,"WY"
