"","date","regular","mid","premium","diesel","state"
"1",2021-11-12,3.715,3.882,4.074,3.55,"AK"
"2",2021-11-12,3.196,3.523,3.85,3.473,"AL"
"3",2021-11-12,3.065,3.377,3.659,3.414,"AR"
"4",2021-11-12,3.653,3.924,4.169,3.894,"AZ"
"5",2021-11-12,4.658,4.841,4.966,4.8,"CA"
"6",2021-11-12,3.499,3.83,4.115,3.486,"CO"
"7",2021-11-12,3.543,3.842,4.062,3.699,"CT"
"8",2021-11-12,3.628,4.109,4.231,3.693,"DC"
"9",2021-11-12,3.323,3.701,3.954,3.58,"DE"
"10",2021-11-12,3.276,3.63,3.931,3.57,"FL"
"11",2021-11-12,3.26,3.601,3.926,3.531,"GA"
"12",2021-11-12,4.349,4.55,4.807,4.663,"HI"
"13",2021-11-12,3.186,3.317,3.733,3.467,"IA"
"14",2021-11-12,3.69,3.891,4.065,3.989,"ID"
"15",2021-11-12,3.58,3.94,4.313,3.641,"IL"
"16",2021-11-12,3.375,3.705,4.01,3.697,"IN"
"17",2021-11-12,3.109,3.365,3.608,3.394,"KS"
"18",2021-11-12,3.115,3.441,3.739,3.416,"KY"
"19",2021-11-12,3.159,3.472,3.787,3.332,"LA"
"20",2021-11-12,3.409,3.679,3.901,3.563,"MA"
"21",2021-11-12,3.357,3.762,4.03,3.603,"MD"
"22",2021-11-12,3.429,3.725,3.978,3.584,"ME"
"23",2021-11-12,3.408,3.746,4.073,3.546,"MI"
"24",2021-11-12,3.182,3.406,3.735,3.51,"MN"
"25",2021-11-12,3.105,3.355,3.623,3.353,"MO"
"26",2021-11-12,3.09,3.393,3.712,3.328,"MS"
"27",2021-11-12,3.41,3.681,3.921,3.72,"MT"
"28",2021-11-12,3.232,3.581,3.913,3.527,"NC"
"29",2021-11-12,3.208,3.409,3.646,3.559,"ND"
"30",2021-11-12,3.221,3.312,3.68,3.454,"NE"
"31",2021-11-12,3.366,3.664,3.929,3.517,"NH"
"32",2021-11-12,3.452,3.806,3.983,3.701,"NJ"
"33",2021-11-12,3.369,3.666,3.927,3.636,"NM"
"34",2021-11-12,3.965,4.186,4.361,3.97,"NV"
"35",2021-11-12,3.561,3.854,4.086,3.755,"NY"
"36",2021-11-12,3.276,3.601,3.925,3.692,"OH"
"37",2021-11-12,3.024,3.284,3.513,3.296,"OK"
"38",2021-11-12,3.779,3.958,4.156,3.79,"OR"
"39",2021-11-12,3.6,3.914,4.197,3.981,"PA"
"40",2021-11-12,3.416,3.752,3.991,3.603,"RI"
"41",2021-11-12,3.146,3.499,3.803,3.445,"SC"
"42",2021-11-12,3.317,3.418,3.738,3.528,"SD"
"43",2021-11-12,3.143,3.478,3.801,3.454,"TN"
"44",2021-11-12,3.064,3.391,3.679,3.315,"TX"
"45",2021-11-12,3.711,3.91,4.101,4.017,"UT"
"46",2021-11-12,3.281,3.656,3.974,3.561,"VA"
"47",2021-11-12,3.437,3.68,3.936,3.613,"VT"
"48",2021-11-12,3.872,4.099,4.264,3.864,"WA"
"49",2021-11-12,3.142,3.475,3.86,3.454,"WI"
"50",2021-11-12,3.338,3.62,3.92,3.682,"WV"
"51",2021-11-12,3.502,3.731,3.954,3.767,"WY"
