"","date","regular","mid","premium","diesel","state"
"1",2022-09-24,4.726,4.839,5.068,5.131,"AK"
"2",2022-09-24,3.226,3.611,3.982,4.682,"AL"
"3",2022-09-24,3.244,3.591,3.939,4.634,"AR"
"4",2022-09-24,4.09,4.366,4.634,4.903,"AZ"
"5",2022-09-24,5.682,5.829,5.988,6.285,"CA"
"6",2022-09-24,3.752,4.09,4.388,4.692,"CO"
"7",2022-09-24,3.369,3.939,4.332,5.017,"CT"
"8",2022-09-24,3.752,4.369,4.746,4.953,"DC"
"9",2022-09-24,3.329,3.813,4.078,4.662,"DE"
"10",2022-09-24,3.372,3.776,4.096,4.699,"FL"
"11",2022-09-24,3.126,3.525,3.895,4.603,"GA"
"12",2022-09-24,5.242,5.483,5.716,6.109,"HI"
"13",2022-09-24,3.629,3.867,4.355,4.73,"IA"
"14",2022-09-24,4.414,4.613,4.845,5.016,"ID"
"15",2022-09-24,3.942,4.413,4.808,5.087,"IL"
"16",2022-09-24,3.8,4.214,4.59,5.202,"IN"
"17",2022-09-24,3.435,3.724,4.024,4.681,"KS"
"18",2022-09-24,3.254,3.652,3.999,4.793,"KY"
"19",2022-09-24,3.129,3.504,3.872,4.54,"LA"
"20",2022-09-24,3.6,4.175,4.466,4.952,"MA"
"21",2022-09-24,3.46,3.985,4.275,4.723,"MD"
"22",2022-09-24,3.611,4.013,4.366,4.996,"ME"
"23",2022-09-24,3.89,4.284,4.702,5.3,"MI"
"24",2022-09-24,3.692,3.997,4.377,4.91,"MN"
"25",2022-09-24,3.377,3.654,3.978,4.68,"MO"
"26",2022-09-24,3.084,3.455,3.811,4.542,"MS"
"27",2022-09-24,3.95,4.232,4.5,4.889,"MT"
"28",2022-09-24,3.343,3.725,4.074,4.676,"NC"
"29",2022-09-24,3.713,4.03,4.39,4.739,"ND"
"30",2022-09-24,3.625,3.826,4.268,4.745,"NE"
"31",2022-09-24,3.517,4.039,4.391,4.848,"NH"
"32",2022-09-24,3.513,4.112,4.379,4.831,"NJ"
"33",2022-09-24,3.684,4.01,4.285,4.737,"NM"
"34",2022-09-24,5.024,5.235,5.448,5.189,"NV"
"35",2022-09-24,3.698,4.184,4.523,5.073,"NY"
"36",2022-09-24,3.502,3.889,4.257,5.021,"OH"
"37",2022-09-24,3.495,3.783,4.027,4.568,"OK"
"38",2022-09-24,4.91,4.981,5.213,5.461,"OR"
"39",2022-09-24,3.815,4.196,4.465,5.045,"PA"
"40",2022-09-24,3.464,4.086,4.383,4.843,"RI"
"41",2022-09-24,3.226,3.61,3.956,4.673,"SC"
"42",2022-09-24,3.708,3.847,4.312,4.716,"SD"
"43",2022-09-24,3.189,3.562,3.921,4.624,"TN"
"44",2022-09-24,3.139,3.528,3.861,4.48,"TX"
"45",2022-09-24,4.206,4.425,4.618,4.826,"UT"
"46",2022-09-24,3.363,3.8,4.113,4.683,"VA"
"47",2022-09-24,3.744,4.318,4.727,4.883,"VT"
"48",2022-09-24,4.813,4.974,5.163,5.459,"WA"
"49",2022-09-24,3.562,3.898,4.397,4.743,"WI"
"50",2022-09-24,3.485,3.747,4.018,4.721,"WV"
"51",2022-09-24,3.869,4.078,4.343,4.839,"WY"
