"","date","regular","mid","premium","diesel","state"
"1",2022-08-23,4.878,5.06,5.264,5.329,"AK"
"2",2022-08-23,3.469,3.856,4.229,4.72,"AL"
"3",2022-08-23,3.403,3.746,4.089,4.636,"AR"
"4",2022-08-23,4.033,4.325,4.594,4.944,"AZ"
"5",2022-08-23,5.317,5.522,5.668,6.229,"CA"
"6",2022-08-23,3.887,4.241,4.54,4.806,"CO"
"7",2022-08-23,4.006,4.553,4.927,5.143,"CT"
"8",2022-08-23,4.102,4.638,5.071,5.22,"DC"
"9",2022-08-23,3.79,4.301,4.565,4.769,"DE"
"10",2022-08-23,3.529,3.942,4.269,4.71,"FL"
"11",2022-08-23,3.418,3.816,4.18,4.677,"GA"
"12",2022-08-23,5.324,5.543,5.787,6.094,"HI"
"13",2022-08-23,3.558,3.819,4.267,4.697,"IA"
"14",2022-08-23,4.64,4.874,5.088,5.148,"ID"
"15",2022-08-23,4.237,4.72,5.1,5.085,"IL"
"16",2022-08-23,3.89,4.301,4.639,5.175,"IN"
"17",2022-08-23,3.511,3.769,4.089,4.616,"KS"
"18",2022-08-23,3.494,3.881,4.231,4.838,"KY"
"19",2022-08-23,3.448,3.825,4.182,4.605,"LA"
"20",2022-08-23,4.158,4.688,4.975,5.212,"MA"
"21",2022-08-23,3.873,4.392,4.654,4.86,"MD"
"22",2022-08-23,4.147,4.541,4.869,5.18,"ME"
"23",2022-08-23,3.89,4.271,4.639,5.234,"MI"
"24",2022-08-23,3.831,4.176,4.54,4.941,"MN"
"25",2022-08-23,3.475,3.798,4.11,4.591,"MO"
"26",2022-08-23,3.416,3.772,4.12,4.599,"MS"
"27",2022-08-23,4.2,4.496,4.771,4.803,"MT"
"28",2022-08-23,3.586,3.966,4.317,4.88,"NC"
"29",2022-08-23,3.887,4.215,4.581,4.785,"ND"
"30",2022-08-23,3.682,3.867,4.316,4.707,"NE"
"31",2022-08-23,4.029,4.5,4.835,5.134,"NH"
"32",2022-08-23,4.048,4.614,4.866,5.007,"NJ"
"33",2022-08-23,3.719,4.005,4.285,4.788,"NM"
"34",2022-08-23,4.911,5.164,5.359,5.151,"NV"
"35",2022-08-23,4.234,4.685,5.019,5.391,"NY"
"36",2022-08-23,3.633,4.022,4.368,5.151,"OH"
"37",2022-08-23,3.526,3.848,4.092,4.565,"OK"
"38",2022-08-23,4.824,5.018,5.223,5.654,"OR"
"39",2022-08-23,4.208,4.589,4.857,5.321,"PA"
"40",2022-08-23,4.069,4.668,4.937,5.152,"RI"
"41",2022-08-23,3.463,3.847,4.185,4.677,"SC"
"42",2022-08-23,3.863,4.04,4.516,4.777,"SD"
"43",2022-08-23,3.437,3.804,4.167,4.683,"TN"
"44",2022-08-23,3.432,3.801,4.128,4.514,"TX"
"45",2022-08-23,4.523,4.738,4.935,4.877,"UT"
"46",2022-08-23,3.683,4.109,4.442,4.888,"VA"
"47",2022-08-23,4.208,4.724,5.119,5.015,"VT"
"48",2022-08-23,4.77,4.991,5.181,5.59,"WA"
"49",2022-08-23,3.671,4.082,4.491,4.759,"WI"
"50",2022-08-23,3.87,4.141,4.41,5.108,"WV"
"51",2022-08-23,4.023,4.213,4.485,4.914,"WY"
