"","date","regular","mid","premium","diesel","state"
"1",2023-03-23,3.816,3.947,4.179,4.364,"AK"
"2",2023-03-23,3.09,3.491,3.856,4.066,"AL"
"3",2023-03-23,3.032,3.394,3.74,3.919,"AR"
"4",2023-03-23,4.171,4.465,4.733,4.511,"AZ"
"5",2023-03-23,4.828,5.03,5.177,5.477,"CA"
"6",2023-03-23,3.682,4.056,4.358,4.412,"CO"
"7",2023-03-23,3.265,3.799,4.191,4.579,"CT"
"8",2023-03-23,3.524,4.037,4.477,4.68,"DC"
"9",2023-03-23,3.162,3.637,3.905,3.92,"DE"
"10",2023-03-23,3.412,3.808,4.122,4.269,"FL"
"11",2023-03-23,3.228,3.617,3.986,4.196,"GA"
"12",2023-03-23,4.821,5.042,5.284,5.978,"HI"
"13",2023-03-23,3.185,3.44,3.91,3.871,"IA"
"14",2023-03-23,3.596,3.835,4.069,4.346,"ID"
"15",2023-03-23,3.703,4.161,4.586,4.236,"IL"
"16",2023-03-23,3.436,3.911,4.346,4.353,"IN"
"17",2023-03-23,3.04,3.324,3.63,3.845,"KS"
"18",2023-03-23,3.148,3.588,3.961,4.076,"KY"
"19",2023-03-23,3.074,3.45,3.812,3.987,"LA"
"20",2023-03-23,3.262,3.833,4.167,4.665,"MA"
"21",2023-03-23,3.291,3.802,4.066,4.082,"MD"
"22",2023-03-23,3.393,3.804,4.162,5.072,"ME"
"23",2023-03-23,3.407,3.882,4.34,4.329,"MI"
"24",2023-03-23,3.254,3.555,3.951,4.009,"MN"
"25",2023-03-23,3.038,3.349,3.657,3.838,"MO"
"26",2023-03-23,2.986,3.365,3.727,3.963,"MS"
"27",2023-03-23,3.205,3.47,3.778,4.101,"MT"
"28",2023-03-23,3.268,3.623,3.98,4.1,"NC"
"29",2023-03-23,3.246,3.496,3.848,4.184,"ND"
"30",2023-03-23,3.197,3.393,3.837,3.917,"NE"
"31",2023-03-23,3.239,3.704,4.072,4.67,"NH"
"32",2023-03-23,3.236,3.789,4.053,4.181,"NJ"
"33",2023-03-23,3.351,3.683,3.959,4.135,"NM"
"34",2023-03-23,4.227,4.477,4.695,4.537,"NV"
"35",2023-03-23,3.431,3.9,4.254,4.925,"NY"
"36",2023-03-23,3.247,3.684,4.104,4.203,"OH"
"37",2023-03-23,3.008,3.334,3.572,3.712,"OK"
"38",2023-03-23,3.882,4.084,4.298,4.671,"OR"
"39",2023-03-23,3.57,3.923,4.199,4.748,"PA"
"40",2023-03-23,3.253,3.864,4.193,4.625,"RI"
"41",2023-03-23,3.131,3.511,3.863,3.963,"SC"
"42",2023-03-23,3.307,3.457,3.915,3.973,"SD"
"43",2023-03-23,3.139,3.539,3.889,4.008,"TN"
"44",2023-03-23,3.061,3.446,3.774,3.785,"TX"
"45",2023-03-23,3.778,3.998,4.188,4.243,"UT"
"46",2023-03-23,3.27,3.66,3.978,4.187,"VA"
"47",2023-03-23,3.404,3.914,4.362,4.504,"VT"
"48",2023-03-23,4.242,4.473,4.668,4.994,"WA"
"49",2023-03-23,3.242,3.64,4.081,3.863,"WI"
"50",2023-03-23,3.352,3.636,3.928,4.357,"WV"
"51",2023-03-23,3.36,3.602,3.862,4.396,"WY"
