"","date","regular","mid","premium","diesel","state"
"1",2023-02-07,3.78,3.933,4.141,4.572,"AK"
"2",2023-02-07,3.203,3.591,3.954,4.448,"AL"
"3",2023-02-07,3.132,3.471,3.818,4.186,"AR"
"4",2023-02-07,3.493,3.776,4.058,4.607,"AZ"
"5",2023-02-07,4.617,4.813,4.961,5.703,"CA"
"6",2023-02-07,3.931,4.277,4.585,4.796,"CO"
"7",2023-02-07,3.337,3.879,4.321,4.974,"CT"
"8",2023-02-07,3.602,4.169,4.556,4.987,"DC"
"9",2023-02-07,3.33,3.787,4.075,4.329,"DE"
"10",2023-02-07,3.47,3.86,4.177,4.847,"FL"
"11",2023-02-07,3.318,3.701,4.071,4.617,"GA"
"12",2023-02-07,4.915,5.149,5.383,6.013,"HI"
"13",2023-02-07,3.303,3.56,4.029,4.221,"IA"
"14",2023-02-07,3.615,3.839,4.06,4.673,"ID"
"15",2023-02-07,3.606,4.054,4.492,4.524,"IL"
"16",2023-02-07,3.24,3.692,4.121,4.69,"IN"
"17",2023-02-07,3.179,3.462,3.765,4.122,"KS"
"18",2023-02-07,3.131,3.573,3.944,4.39,"KY"
"19",2023-02-07,3.18,3.558,3.906,4.32,"LA"
"20",2023-02-07,3.418,3.974,4.321,5.06,"MA"
"21",2023-02-07,3.431,3.946,4.207,4.53,"MD"
"22",2023-02-07,3.495,3.9,4.265,5.594,"ME"
"23",2023-02-07,3.362,3.832,4.29,4.627,"MI"
"24",2023-02-07,3.361,3.659,4.055,4.341,"MN"
"25",2023-02-07,3.125,3.41,3.731,4.107,"MO"
"26",2023-02-07,3.111,3.487,3.83,4.301,"MS"
"27",2023-02-07,3.248,3.525,3.811,4.386,"MT"
"28",2023-02-07,3.275,3.655,4.016,4.441,"NC"
"29",2023-02-07,3.357,3.618,3.943,4.476,"ND"
"30",2023-02-07,3.344,3.523,3.994,4.21,"NE"
"31",2023-02-07,3.368,3.835,4.231,5.082,"NH"
"32",2023-02-07,3.389,3.943,4.227,4.709,"NJ"
"33",2023-02-07,3.298,3.624,3.913,4.37,"NM"
"34",2023-02-07,4.048,4.279,4.504,4.775,"NV"
"35",2023-02-07,3.553,4.01,4.373,5.252,"NY"
"36",2023-02-07,3.329,3.763,4.176,4.598,"OH"
"37",2023-02-07,3.136,3.452,3.702,3.973,"OK"
"38",2023-02-07,3.775,3.979,4.184,4.781,"OR"
"39",2023-02-07,3.756,4.143,4.45,5.063,"PA"
"40",2023-02-07,3.398,3.979,4.346,5.072,"RI"
"41",2023-02-07,3.16,3.533,3.883,4.404,"SC"
"42",2023-02-07,3.389,3.554,4.008,4.383,"SD"
"43",2023-02-07,3.177,3.558,3.92,4.376,"TN"
"44",2023-02-07,3.066,3.449,3.783,4.136,"TX"
"45",2023-02-07,3.699,3.903,4.091,4.669,"UT"
"46",2023-02-07,3.332,3.734,4.072,4.549,"VA"
"47",2023-02-07,3.519,4.015,4.424,5.011,"VT"
"48",2023-02-07,4.127,4.337,4.544,5.047,"WA"
"49",2023-02-07,3.208,3.615,4.061,4.153,"WI"
"50",2023-02-07,3.388,3.696,4.021,4.662,"WV"
"51",2023-02-07,3.435,3.676,3.959,4.623,"WY"
