"","date","regular","mid","premium","diesel","state"
"1",2023-03-29,3.835,3.954,4.171,4.349,"AK"
"2",2023-03-29,3.123,3.507,3.879,4.038,"AL"
"3",2023-03-29,3.041,3.388,3.745,3.9,"AR"
"4",2023-03-29,4.249,4.532,4.811,4.527,"AZ"
"5",2023-03-29,4.825,5.034,5.181,5.436,"CA"
"6",2023-03-29,3.568,3.933,4.227,4.288,"CO"
"7",2023-03-29,3.265,3.792,4.19,4.524,"CT"
"8",2023-03-29,3.552,4.088,4.496,4.626,"DC"
"9",2023-03-29,3.283,3.714,3.954,4.007,"DE"
"10",2023-03-29,3.393,3.773,4.099,4.2,"FL"
"11",2023-03-29,3.22,3.612,3.976,4.166,"GA"
"12",2023-03-29,4.814,5.019,5.279,5.971,"HI"
"13",2023-03-29,3.269,3.483,3.994,3.866,"IA"
"14",2023-03-29,3.573,3.798,4.022,4.255,"ID"
"15",2023-03-29,3.752,4.2,4.62,4.216,"IL"
"16",2023-03-29,3.51,3.918,4.37,4.314,"IN"
"17",2023-03-29,3.044,3.324,3.628,3.827,"KS"
"18",2023-03-29,3.192,3.6,3.977,4.056,"KY"
"19",2023-03-29,3.118,3.507,3.861,3.961,"LA"
"20",2023-03-29,3.255,3.817,4.16,4.627,"MA"
"21",2023-03-29,3.333,3.829,4.081,4.119,"MD"
"22",2023-03-29,3.382,3.781,4.16,5.021,"ME"
"23",2023-03-29,3.466,3.868,4.326,4.296,"MI"
"24",2023-03-29,3.281,3.561,3.971,3.982,"MN"
"25",2023-03-29,3.058,3.366,3.671,3.815,"MO"
"26",2023-03-29,2.996,3.359,3.728,3.928,"MS"
"27",2023-03-29,3.196,3.463,3.756,4.085,"MT"
"28",2023-03-29,3.304,3.679,4.033,4.069,"NC"
"29",2023-03-29,3.223,3.462,3.797,4.138,"ND"
"30",2023-03-29,3.265,3.436,3.874,3.889,"NE"
"31",2023-03-29,3.23,3.692,4.059,4.633,"NH"
"32",2023-03-29,3.229,3.789,4.053,4.132,"NJ"
"33",2023-03-29,3.398,3.734,4.004,4.151,"NM"
"34",2023-03-29,4.223,4.459,4.692,4.508,"NV"
"35",2023-03-29,3.423,3.886,4.245,4.901,"NY"
"36",2023-03-29,3.317,3.708,4.136,4.176,"OH"
"37",2023-03-29,3.038,3.362,3.606,3.689,"OK"
"38",2023-03-29,3.904,4.093,4.295,4.649,"OR"
"39",2023-03-29,3.566,3.955,4.251,4.714,"PA"
"40",2023-03-29,3.237,3.84,4.177,4.595,"RI"
"41",2023-03-29,3.145,3.524,3.882,3.928,"SC"
"42",2023-03-29,3.286,3.451,3.879,3.919,"SD"
"43",2023-03-29,3.165,3.553,3.907,3.973,"TN"
"44",2023-03-29,3.115,3.485,3.816,3.764,"TX"
"45",2023-03-29,3.739,3.959,4.151,4.162,"UT"
"46",2023-03-29,3.316,3.716,4.047,4.16,"VA"
"47",2023-03-29,3.391,3.868,4.325,4.467,"VT"
"48",2023-03-29,4.277,4.5,4.698,4.987,"WA"
"49",2023-03-29,3.298,3.662,4.126,3.852,"WI"
"50",2023-03-29,3.369,3.686,3.999,4.322,"WV"
"51",2023-03-29,3.315,3.568,3.829,4.335,"WY"
