"","date","regular","mid","premium","diesel","state"
"1",2022-09-13,4.697,4.872,5.061,5.194,"AK"
"2",2022-09-13,3.286,3.664,4.05,4.764,"AL"
"3",2022-09-13,3.167,3.505,3.854,4.705,"AR"
"4",2022-09-13,4.019,4.278,4.566,4.972,"AZ"
"5",2022-09-13,5.426,5.61,5.758,6.32,"CA"
"6",2022-09-13,3.674,4.012,4.31,4.748,"CO"
"7",2022-09-13,3.569,4.156,4.53,5.126,"CT"
"8",2022-09-13,3.849,4.458,4.803,5.085,"DC"
"9",2022-09-13,3.401,3.913,4.19,4.666,"DE"
"10",2022-09-13,3.43,3.832,4.147,4.757,"FL"
"11",2022-09-13,3.232,3.628,4,4.687,"GA"
"12",2022-09-13,5.282,5.513,5.737,6.094,"HI"
"13",2022-09-13,3.409,3.666,4.113,4.861,"IA"
"14",2022-09-13,4.459,4.688,4.92,5.055,"ID"
"15",2022-09-13,3.991,4.483,4.879,5.218,"IL"
"16",2022-09-13,3.772,4.206,4.579,5.341,"IN"
"17",2022-09-13,3.379,3.64,3.951,4.791,"KS"
"18",2022-09-13,3.336,3.735,4.089,4.888,"KY"
"19",2022-09-13,3.189,3.573,3.919,4.615,"LA"
"20",2022-09-13,3.784,4.361,4.647,5.079,"MA"
"21",2022-09-13,3.494,4.021,4.293,4.769,"MD"
"22",2022-09-13,3.763,4.186,4.517,5.116,"ME"
"23",2022-09-13,3.833,4.24,4.635,5.384,"MI"
"24",2022-09-13,3.653,3.996,4.352,4.989,"MN"
"25",2022-09-13,3.308,3.623,3.927,4.764,"MO"
"26",2022-09-13,3.151,3.508,3.868,4.604,"MS"
"27",2022-09-13,3.943,4.228,4.491,4.915,"MT"
"28",2022-09-13,3.401,3.782,4.133,4.784,"NC"
"29",2022-09-13,3.65,3.974,4.354,4.874,"ND"
"30",2022-09-13,3.508,3.71,4.165,4.84,"NE"
"31",2022-09-13,3.692,4.229,4.578,4.992,"NH"
"32",2022-09-13,3.68,4.271,4.533,4.936,"NJ"
"33",2022-09-13,3.57,3.901,4.164,4.829,"NM"
"34",2022-09-13,4.925,5.144,5.346,5.23,"NV"
"35",2022-09-13,3.873,4.35,4.691,5.203,"NY"
"36",2022-09-13,3.51,3.92,4.291,5.152,"OH"
"37",2022-09-13,3.316,3.625,3.844,4.668,"OK"
"38",2022-09-13,4.682,4.873,5.076,5.551,"OR"
"39",2022-09-13,3.911,4.29,4.551,5.148,"PA"
"40",2022-09-13,3.678,4.279,4.602,4.985,"RI"
"41",2022-09-13,3.306,3.684,4.038,4.785,"SC"
"42",2022-09-13,3.675,3.855,4.317,4.838,"SD"
"43",2022-09-13,3.249,3.621,3.984,4.716,"TN"
"44",2022-09-13,3.148,3.516,3.846,4.584,"TX"
"45",2022-09-13,4.297,4.515,4.714,4.866,"UT"
"46",2022-09-13,3.466,3.896,4.223,4.79,"VA"
"47",2022-09-13,3.878,4.436,4.846,5.02,"VT"
"48",2022-09-13,4.654,4.887,5.083,5.534,"WA"
"49",2022-09-13,3.455,3.877,4.289,4.939,"WI"
"50",2022-09-13,3.646,3.906,4.16,4.896,"WV"
"51",2022-09-13,3.812,4.023,4.265,4.883,"WY"
