"","date","regular","mid","premium","diesel","state"
"1",2022-06-30,5.567,5.788,5.967,6.113,"AK"
"2",2022-06-30,4.464,4.839,5.206,5.575,"AL"
"3",2022-06-30,4.412,4.765,5.08,5.369,"AR"
"4",2022-06-30,5.223,5.55,5.802,5.862,"AZ"
"5",2022-06-30,6.289,6.5,6.639,6.953,"CA"
"6",2022-06-30,4.905,5.249,5.546,5.519,"CO"
"7",2022-06-30,4.83,5.283,5.631,6.086,"CT"
"8",2022-06-30,5.002,5.505,5.845,6.084,"DC"
"9",2022-06-30,4.779,5.222,5.485,5.759,"DE"
"10",2022-06-30,4.617,5.028,5.348,5.643,"FL"
"11",2022-06-30,4.363,4.754,5.111,5.477,"GA"
"12",2022-06-30,5.604,5.8,6.041,6.156,"HI"
"13",2022-06-30,4.624,4.792,5.293,5.397,"IA"
"14",2022-06-30,5.248,5.448,5.665,5.884,"ID"
"15",2022-06-30,5.391,5.854,6.233,5.803,"IL"
"16",2022-06-30,4.949,5.354,5.689,6.006,"IN"
"17",2022-06-30,4.589,4.859,5.158,5.361,"KS"
"18",2022-06-30,4.572,4.968,5.298,5.768,"KY"
"19",2022-06-30,4.415,4.768,5.109,5.343,"LA"
"20",2022-06-30,4.9,5.344,5.624,6.089,"MA"
"21",2022-06-30,4.798,5.307,5.588,5.775,"MD"
"22",2022-06-30,4.99,5.354,5.644,6.091,"ME"
"23",2022-06-30,4.995,5.385,5.739,5.938,"MI"
"24",2022-06-30,4.697,4.964,5.332,5.569,"MN"
"25",2022-06-30,4.571,4.888,5.196,5.366,"MO"
"26",2022-06-30,4.383,4.72,5.069,5.332,"MS"
"27",2022-06-30,4.956,5.249,5.524,5.908,"MT"
"28",2022-06-30,4.502,4.876,5.231,5.65,"NC"
"29",2022-06-30,4.7,5.016,5.355,5.612,"ND"
"30",2022-06-30,4.714,4.857,5.317,5.342,"NE"
"31",2022-06-30,4.851,5.279,5.605,6.068,"NH"
"32",2022-06-30,4.874,5.395,5.628,5.95,"NJ"
"33",2022-06-30,4.674,5.013,5.279,5.568,"NM"
"34",2022-06-30,5.566,5.807,6.005,5.968,"NV"
"35",2022-06-30,4.931,5.349,5.659,6.204,"NY"
"36",2022-06-30,4.807,5.198,5.54,6.048,"OH"
"37",2022-06-30,4.564,4.885,5.109,5.272,"OK"
"38",2022-06-30,5.489,5.698,5.899,6.471,"OR"
"39",2022-06-30,4.934,5.322,5.605,6.133,"PA"
"40",2022-06-30,4.867,5.359,5.666,6.151,"RI"
"41",2022-06-30,4.375,4.747,5.088,5.517,"SC"
"42",2022-06-30,4.745,4.909,5.343,5.406,"SD"
"43",2022-06-30,4.476,4.848,5.203,5.573,"TN"
"44",2022-06-30,4.488,4.862,5.178,5.256,"TX"
"45",2022-06-30,5.244,5.442,5.636,5.667,"UT"
"46",2022-06-30,4.67,5.115,5.439,5.73,"VA"
"47",2022-06-30,4.933,5.356,5.745,6.026,"VT"
"48",2022-06-30,5.48,5.706,5.881,6.465,"WA"
"49",2022-06-30,4.661,5.087,5.474,5.507,"WI"
"50",2022-06-30,4.822,5.129,5.396,5.949,"WV"
"51",2022-06-30,4.895,5.094,5.353,5.708,"WY"
