"","date","regular","mid","premium","diesel","state"
"1",2022-09-03,4.799,4.983,5.174,5.296,"AK"
"2",2022-09-03,3.402,3.79,4.176,4.822,"AL"
"3",2022-09-03,3.291,3.65,3.978,4.772,"AR"
"4",2022-09-03,3.971,4.267,4.54,4.995,"AZ"
"5",2022-09-03,5.254,5.456,5.604,6.325,"CA"
"6",2022-09-03,3.744,4.096,4.39,4.796,"CO"
"7",2022-09-03,3.765,4.356,4.726,5.182,"CT"
"8",2022-09-03,3.928,4.503,4.916,5.14,"DC"
"9",2022-09-03,3.584,4.101,4.377,4.783,"DE"
"10",2022-09-03,3.545,3.957,4.278,4.838,"FL"
"11",2022-09-03,3.343,3.745,4.126,4.74,"GA"
"12",2022-09-03,5.301,5.538,5.762,6.132,"HI"
"13",2022-09-03,3.463,3.74,4.173,4.926,"IA"
"14",2022-09-03,4.53,4.77,4.982,5.088,"ID"
"15",2022-09-03,4.133,4.61,5.005,5.295,"IL"
"16",2022-09-03,3.927,4.328,4.692,5.389,"IN"
"17",2022-09-03,3.479,3.788,4.088,4.851,"KS"
"18",2022-09-03,3.445,3.84,4.19,4.941,"KY"
"19",2022-09-03,3.337,3.734,4.087,4.683,"LA"
"20",2022-09-03,3.95,4.509,4.808,5.169,"MA"
"21",2022-09-03,3.681,4.211,4.476,4.944,"MD"
"22",2022-09-03,3.898,4.329,4.692,5.158,"ME"
"23",2022-09-03,3.835,4.23,4.619,5.415,"MI"
"24",2022-09-03,3.724,4.069,4.432,5.04,"MN"
"25",2022-09-03,3.395,3.717,4.018,4.822,"MO"
"26",2022-09-03,3.311,3.669,4.034,4.665,"MS"
"27",2022-09-03,4.019,4.305,4.577,4.932,"MT"
"28",2022-09-03,3.509,3.892,4.246,4.927,"NC"
"29",2022-09-03,3.709,4.023,4.411,4.901,"ND"
"30",2022-09-03,3.581,3.761,4.212,4.876,"NE"
"31",2022-09-03,3.847,4.364,4.697,5.088,"NH"
"32",2022-09-03,3.848,4.452,4.7,4.999,"NJ"
"33",2022-09-03,3.653,3.981,4.263,4.895,"NM"
"34",2022-09-03,4.845,5.078,5.3,5.228,"NV"
"35",2022-09-03,4.034,4.513,4.843,5.295,"NY"
"36",2022-09-03,3.649,4.028,4.398,5.256,"OH"
"37",2022-09-03,3.398,3.715,3.952,4.734,"OK"
"38",2022-09-03,4.724,4.949,5.152,5.614,"OR"
"39",2022-09-03,4.011,4.41,4.677,5.316,"PA"
"40",2022-09-03,3.839,4.453,4.723,5.064,"RI"
"41",2022-09-03,3.421,3.81,4.153,4.855,"SC"
"42",2022-09-03,3.761,3.936,4.399,4.897,"SD"
"43",2022-09-03,3.393,3.783,4.144,4.8,"TN"
"44",2022-09-03,3.296,3.687,4.015,4.682,"TX"
"45",2022-09-03,4.398,4.616,4.817,4.845,"UT"
"46",2022-09-03,3.581,4.023,4.35,4.927,"VA"
"47",2022-09-03,3.983,4.562,4.937,5.132,"VT"
"48",2022-09-03,4.689,4.934,5.136,5.596,"WA"
"49",2022-09-03,3.59,4.015,4.425,5.038,"WI"
"50",2022-09-03,3.743,4.007,4.276,5.119,"WV"
"51",2022-09-03,3.892,4.105,4.378,4.912,"WY"
