"","date","regular","mid","premium","diesel","state"
"1",2023-12-18,3.719,3.954,4.111,4.093,"AK"
"2",2023-12-18,2.73,3.132,3.504,3.749,"AL"
"3",2023-12-18,2.669,3.063,3.434,3.684,"AR"
"4",2023-12-18,3.191,3.498,3.786,4.052,"AZ"
"5",2023-12-18,4.606,4.814,4.977,5.51,"CA"
"6",2023-12-18,2.741,3.103,3.401,3.729,"CO"
"7",2023-12-18,3.243,3.838,4.249,4.357,"CT"
"8",2023-12-18,3.274,3.881,4.229,4.361,"DC"
"9",2023-12-18,2.96,3.479,3.775,3.971,"DE"
"10",2023-12-18,2.855,3.27,3.603,3.679,"FL"
"11",2023-12-18,2.962,3.384,3.768,3.965,"GA"
"12",2023-12-18,4.688,4.893,5.152,5.611,"HI"
"13",2023-12-18,2.757,3.101,3.557,3.743,"IA"
"14",2023-12-18,3.331,3.522,3.762,4.203,"ID"
"15",2023-12-18,3.162,3.665,4.087,4.002,"IL"
"16",2023-12-18,2.742,3.245,3.7,4.061,"IN"
"17",2023-12-18,2.711,3.01,3.314,3.712,"KS"
"18",2023-12-18,2.725,3.184,3.588,3.788,"KY"
"19",2023-12-18,2.667,3.07,3.442,3.585,"LA"
"20",2023-12-18,3.27,3.853,4.211,4.282,"MA"
"21",2023-12-18,3.1,3.639,3.945,4.058,"MD"
"22",2023-12-18,3.23,3.645,4.053,4.357,"ME"
"23",2023-12-18,2.952,3.481,3.974,4.038,"MI"
"24",2023-12-18,2.876,3.23,3.624,3.965,"MN"
"25",2023-12-18,2.638,3.002,3.31,3.615,"MO"
"26",2023-12-18,2.613,2.98,3.342,3.563,"MS"
"27",2023-12-18,2.99,3.262,3.585,3.701,"MT"
"28",2023-12-18,2.893,3.309,3.688,3.951,"NC"
"29",2023-12-18,2.903,3.198,3.589,3.927,"ND"
"30",2023-12-18,2.842,3.081,3.553,3.732,"NE"
"31",2023-12-18,3.147,3.633,4.042,4.202,"NH"
"32",2023-12-18,3.113,3.715,3.994,4.135,"NJ"
"33",2023-12-18,2.848,3.241,3.522,3.897,"NM"
"34",2023-12-18,3.93,4.193,4.419,4.317,"NV"
"35",2023-12-18,3.414,3.92,4.295,4.511,"NY"
"36",2023-12-18,2.698,3.177,3.642,3.996,"OH"
"37",2023-12-18,2.628,2.922,3.227,3.537,"OK"
"38",2023-12-18,3.854,4.074,4.303,4.43,"OR"
"39",2023-12-18,3.435,3.836,4.153,4.583,"PA"
"40",2023-12-18,3.155,3.823,4.151,4.293,"RI"
"41",2023-12-18,2.762,3.158,3.519,3.758,"SC"
"42",2023-12-18,2.975,3.199,3.666,3.736,"SD"
"43",2023-12-18,2.751,3.146,3.515,3.758,"TN"
"44",2023-12-18,2.538,2.921,3.264,3.425,"TX"
"45",2023-12-18,2.933,3.167,3.372,3.929,"UT"
"46",2023-12-18,2.961,3.407,3.76,3.899,"VA"
"47",2023-12-18,3.343,3.899,4.318,4.348,"VT"
"48",2023-12-18,4.204,4.409,4.64,4.981,"WA"
"49",2023-12-18,2.711,3.178,3.609,3.737,"WI"
"50",2023-12-18,3.024,3.366,3.718,3.993,"WV"
"51",2023-12-18,2.936,3.175,3.484,4.027,"WY"
