"","date","regular","mid","premium","diesel","state"
"1",2022-04-04,4.719,4.911,5.095,5.19,"AK"
"2",2022-04-04,3.948,4.313,4.662,4.962,"AL"
"3",2022-04-04,3.772,4.097,4.396,4.798,"AR"
"4",2022-04-04,4.652,4.938,5.195,5.065,"AZ"
"5",2022-04-04,5.854,6.065,6.195,6.376,"CA"
"6",2022-04-04,3.977,4.313,4.618,4.885,"CO"
"7",2022-04-04,4.034,4.441,4.655,5.186,"CT"
"8",2022-04-04,4.381,4.843,4.99,5.347,"DC"
"9",2022-04-04,4.074,4.508,4.748,5.141,"DE"
"10",2022-04-04,4.167,4.553,4.863,5.151,"FL"
"11",2022-04-04,3.86,4.261,4.607,4.833,"GA"
"12",2022-04-04,5.215,5.415,5.662,5.593,"HI"
"13",2022-04-04,3.857,4.026,4.452,4.792,"IA"
"14",2022-04-04,4.419,4.612,4.822,5.143,"ID"
"15",2022-04-04,4.431,4.821,5.207,4.949,"IL"
"16",2022-04-04,4.096,4.453,4.782,4.951,"IN"
"17",2022-04-04,3.755,4.018,4.285,4.755,"KS"
"18",2022-04-04,3.93,4.291,4.613,4.987,"KY"
"19",2022-04-04,3.966,4.309,4.623,4.895,"LA"
"20",2022-04-04,4.188,4.535,4.766,5.18,"MA"
"21",2022-04-04,3.794,4.271,4.536,4.687,"MD"
"22",2022-04-04,4.155,4.493,4.775,5.258,"ME"
"23",2022-04-04,4.034,4.394,4.737,4.939,"MI"
"24",2022-04-04,3.886,4.157,4.481,4.897,"MN"
"25",2022-04-04,3.735,4.012,4.297,4.723,"MO"
"26",2022-04-04,3.869,4.204,4.535,4.877,"MS"
"27",2022-04-04,4.062,4.325,4.591,5.05,"MT"
"28",2022-04-04,3.954,4.341,4.695,5.011,"NC"
"29",2022-04-04,3.896,4.131,4.389,4.882,"ND"
"30",2022-04-04,3.83,3.958,4.35,4.783,"NE"
"31",2022-04-04,4.121,4.518,4.785,5.162,"NH"
"32",2022-04-04,4.162,4.58,4.766,5.279,"NJ"
"33",2022-04-04,4.114,4.436,4.7,5.033,"NM"
"34",2022-04-04,5.189,5.423,5.617,5.317,"NV"
"35",2022-04-04,4.293,4.627,4.865,5.314,"NY"
"36",2022-04-04,3.96,4.311,4.653,4.994,"OH"
"37",2022-04-04,3.75,4.061,4.284,4.735,"OK"
"38",2022-04-04,4.69,4.884,5.086,5.433,"OR"
"39",2022-04-04,4.275,4.643,4.93,5.441,"PA"
"40",2022-04-04,4.13,4.51,4.772,5.118,"RI"
"41",2022-04-04,3.857,4.23,4.564,4.93,"SC"
"42",2022-04-04,3.897,4.025,4.407,4.854,"SD"
"43",2022-04-04,3.969,4.336,4.678,4.977,"TN"
"44",2022-04-04,3.8,4.141,4.447,4.821,"TX"
"45",2022-04-04,4.422,4.618,4.816,5.103,"UT"
"46",2022-04-04,4.059,4.491,4.809,5.036,"VA"
"47",2022-04-04,4.176,4.531,4.805,5.187,"VT"
"48",2022-04-04,4.711,4.925,5.117,5.545,"WA"
"49",2022-04-04,3.86,4.25,4.618,4.796,"WI"
"50",2022-04-04,4.053,4.347,4.644,5.018,"WV"
"51",2022-04-04,4.103,4.327,4.579,5.033,"WY"
