"","date","regular","mid","premium","diesel","state"
"1",2022-08-21,4.893,5.053,5.263,5.354,"AK"
"2",2022-08-21,3.477,3.87,4.246,4.718,"AL"
"3",2022-08-21,3.414,3.778,4.11,4.64,"AR"
"4",2022-08-21,4.045,4.341,4.615,4.95,"AZ"
"5",2022-08-21,5.323,5.53,5.679,6.228,"CA"
"6",2022-08-21,3.904,4.259,4.561,4.822,"CO"
"7",2022-08-21,4.031,4.575,4.935,5.153,"CT"
"8",2022-08-21,4.111,4.596,5.081,5.268,"DC"
"9",2022-08-21,3.804,4.318,4.592,4.789,"DE"
"10",2022-08-21,3.536,3.956,4.28,4.727,"FL"
"11",2022-08-21,3.435,3.841,4.214,4.693,"GA"
"12",2022-08-21,5.334,5.551,5.79,6.068,"HI"
"13",2022-08-21,3.559,3.813,4.273,4.683,"IA"
"14",2022-08-21,4.651,4.89,5.111,5.171,"ID"
"15",2022-08-21,4.26,4.754,5.145,5.105,"IL"
"16",2022-08-21,3.914,4.322,4.663,5.197,"IN"
"17",2022-08-21,3.487,3.765,4.062,4.598,"KS"
"18",2022-08-21,3.507,3.901,4.241,4.85,"KY"
"19",2022-08-21,3.462,3.843,4.191,4.611,"LA"
"20",2022-08-21,4.179,4.709,5.001,5.237,"MA"
"21",2022-08-21,3.891,4.407,4.681,4.882,"MD"
"22",2022-08-21,4.171,4.562,4.892,5.194,"ME"
"23",2022-08-21,3.907,4.296,4.663,5.246,"MI"
"24",2022-08-21,3.831,4.184,4.54,4.948,"MN"
"25",2022-08-21,3.472,3.814,4.106,4.587,"MO"
"26",2022-08-21,3.434,3.791,4.151,4.612,"MS"
"27",2022-08-21,4.203,4.492,4.768,4.802,"MT"
"28",2022-08-21,3.597,3.982,4.329,4.888,"NC"
"29",2022-08-21,3.89,4.204,4.598,4.783,"ND"
"30",2022-08-21,3.688,3.871,4.346,4.7,"NE"
"31",2022-08-21,4.043,4.536,4.868,5.166,"NH"
"32",2022-08-21,4.074,4.644,4.899,5.033,"NJ"
"33",2022-08-21,3.65,3.952,4.231,4.749,"NM"
"34",2022-08-21,4.913,5.173,5.371,5.148,"NV"
"35",2022-08-21,4.255,4.706,5.04,5.413,"NY"
"36",2022-08-21,3.66,4.047,4.396,5.166,"OH"
"37",2022-08-21,3.523,3.856,4.109,4.553,"OK"
"38",2022-08-21,4.828,5.024,5.24,5.659,"OR"
"39",2022-08-21,4.225,4.608,4.874,5.342,"PA"
"40",2022-08-21,4.087,4.665,4.941,5.169,"RI"
"41",2022-08-21,3.468,3.853,4.204,4.675,"SC"
"42",2022-08-21,3.876,4.065,4.548,4.786,"SD"
"43",2022-08-21,3.447,3.831,4.187,4.688,"TN"
"44",2022-08-21,3.441,3.813,4.142,4.508,"TX"
"45",2022-08-21,4.537,4.758,4.95,4.895,"UT"
"46",2022-08-21,3.696,4.141,4.466,4.898,"VA"
"47",2022-08-21,4.222,4.716,5.136,4.995,"VT"
"48",2022-08-21,4.774,4.998,5.196,5.604,"WA"
"49",2022-08-21,3.683,4.091,4.497,4.758,"WI"
"50",2022-08-21,3.884,4.176,4.432,5.117,"WV"
"51",2022-08-21,4.036,4.249,4.49,4.918,"WY"
