"","date","regular","mid","premium","diesel","state"
"1",2023-07-02,4.299,4.444,4.643,4.169,"AK"
"2",2023-07-02,3.083,3.472,3.853,3.623,"AL"
"3",2023-07-02,3.106,3.49,3.863,3.626,"AR"
"4",2023-07-02,3.864,4.171,4.46,4.05,"AZ"
"5",2023-07-02,4.838,5.042,5.199,5.043,"CA"
"6",2023-07-02,3.757,4.126,4.421,3.912,"CO"
"7",2023-07-02,3.627,4.101,4.494,4.082,"CT"
"8",2023-07-02,3.698,4.26,4.629,4.185,"DC"
"9",2023-07-02,3.392,3.867,4.142,3.673,"DE"
"10",2023-07-02,3.28,3.683,4.006,3.685,"FL"
"11",2023-07-02,3.209,3.596,3.987,3.716,"GA"
"12",2023-07-02,4.719,4.928,5.191,5.727,"HI"
"13",2023-07-02,3.353,3.651,4.11,3.594,"IA"
"14",2023-07-02,3.962,4.163,4.412,3.96,"ID"
"15",2023-07-02,3.901,4.407,4.831,3.88,"IL"
"16",2023-07-02,3.355,3.849,4.3,3.916,"IN"
"17",2023-07-02,3.246,3.539,3.837,3.572,"KS"
"18",2023-07-02,3.261,3.743,4.141,3.715,"KY"
"19",2023-07-02,3.072,3.454,3.813,3.467,"LA"
"20",2023-07-02,3.558,4.074,4.41,4.189,"MA"
"21",2023-07-02,3.499,3.999,4.27,3.779,"MD"
"22",2023-07-02,3.609,4.011,4.406,4.142,"ME"
"23",2023-07-02,3.539,4.005,4.48,3.876,"MI"
"24",2023-07-02,3.445,3.753,4.136,3.74,"MN"
"25",2023-07-02,3.266,3.602,3.911,3.497,"MO"
"26",2023-07-02,2.963,3.339,3.711,3.483,"MS"
"27",2023-07-02,3.72,4.015,4.301,4.088,"MT"
"28",2023-07-02,3.225,3.613,3.961,3.685,"NC"
"29",2023-07-02,3.483,3.753,4.098,3.805,"ND"
"30",2023-07-02,3.34,3.543,4.008,3.565,"NE"
"31",2023-07-02,3.497,3.914,4.323,4.094,"NH"
"32",2023-07-02,3.486,4.005,4.272,3.695,"NJ"
"33",2023-07-02,3.432,3.778,4.059,3.855,"NM"
"34",2023-07-02,4.216,4.466,4.696,4.185,"NV"
"35",2023-07-02,3.685,4.134,4.489,4.417,"NY"
"36",2023-07-02,3.299,3.763,4.198,3.769,"OH"
"37",2023-07-02,3.206,3.535,3.793,3.466,"OK"
"38",2023-07-02,4.633,4.848,5.051,4.438,"OR"
"39",2023-07-02,3.641,4.017,4.289,4.279,"PA"
"40",2023-07-02,3.521,4.115,4.44,4.189,"RI"
"41",2023-07-02,3.138,3.537,3.899,3.572,"SC"
"42",2023-07-02,3.498,3.678,4.165,3.69,"SD"
"43",2023-07-02,3.076,3.475,3.826,3.591,"TN"
"44",2023-07-02,3.153,3.549,3.878,3.353,"TX"
"45",2023-07-02,3.939,4.172,4.381,3.734,"UT"
"46",2023-07-02,3.307,3.724,4.041,3.707,"VA"
"47",2023-07-02,3.605,4.015,4.432,3.927,"VT"
"48",2023-07-02,4.984,5.194,5.388,4.944,"WA"
"49",2023-07-02,3.403,3.857,4.281,3.593,"WI"
"50",2023-07-02,3.385,3.702,3.987,3.792,"WV"
"51",2023-07-02,3.617,3.871,4.175,4.108,"WY"
