"","date","regular","mid","premium","diesel","state"
"1",2022-01-05,3.708,3.884,4.079,3.566,"AK"
"2",2022-01-05,2.989,3.337,3.661,3.375,"AL"
"3",2022-01-05,2.934,3.235,3.532,3.312,"AR"
"4",2022-01-05,3.616,3.912,4.151,3.887,"AZ"
"5",2022-01-05,4.658,4.851,4.974,4.802,"CA"
"6",2022-01-05,3.313,3.642,3.939,3.387,"CO"
"7",2022-01-05,3.496,3.81,4.022,3.665,"CT"
"8",2022-01-05,3.471,3.92,4.106,3.727,"DC"
"9",2022-01-05,3.245,3.649,3.888,3.556,"DE"
"10",2022-01-05,3.207,3.584,3.889,3.501,"FL"
"11",2022-01-05,3.113,3.467,3.797,3.461,"GA"
"12",2022-01-05,4.333,4.536,4.772,4.68,"HI"
"13",2022-01-05,3.056,3.199,3.595,3.331,"IA"
"14",2022-01-05,3.564,3.759,3.953,3.842,"ID"
"15",2022-01-05,3.406,3.758,4.149,3.551,"IL"
"16",2022-01-05,3.111,3.424,3.749,3.624,"IN"
"17",2022-01-05,2.969,3.235,3.473,3.29,"KS"
"18",2022-01-05,2.959,3.293,3.602,3.343,"KY"
"19",2022-01-05,3.034,3.358,3.677,3.25,"LA"
"20",2022-01-05,3.378,3.675,3.895,3.549,"MA"
"21",2022-01-05,3.269,3.704,3.953,3.557,"MD"
"22",2022-01-05,3.418,3.719,3.979,3.582,"ME"
"23",2022-01-05,3.128,3.431,3.759,3.48,"MI"
"24",2022-01-05,3.082,3.33,3.649,3.473,"MN"
"25",2022-01-05,2.925,3.188,3.462,3.249,"MO"
"26",2022-01-05,2.942,3.252,3.575,3.232,"MS"
"27",2022-01-05,3.384,3.649,3.901,3.731,"MT"
"28",2022-01-05,3.068,3.438,3.79,3.459,"NC"
"29",2022-01-05,3.087,3.292,3.52,3.549,"ND"
"30",2022-01-05,3.1,3.213,3.57,3.365,"NE"
"31",2022-01-05,3.28,3.618,3.887,3.478,"NH"
"32",2022-01-05,3.386,3.762,3.935,3.639,"NJ"
"33",2022-01-05,3.258,3.575,3.824,3.538,"NM"
"34",2022-01-05,3.834,4.062,4.241,3.922,"NV"
"35",2022-01-05,3.49,3.795,4.033,3.726,"NY"
"36",2022-01-05,3.031,3.348,3.683,3.623,"OH"
"37",2022-01-05,2.907,3.162,3.382,3.141,"OK"
"38",2022-01-05,3.836,3.989,4.178,3.881,"OR"
"39",2022-01-05,3.526,3.856,4.131,3.924,"PA"
"40",2022-01-05,3.369,3.713,3.959,3.576,"RI"
"41",2022-01-05,3.028,3.398,3.721,3.338,"SC"
"42",2022-01-05,3.155,3.256,3.6,3.469,"SD"
"43",2022-01-05,3.002,3.343,3.684,3.391,"TN"
"44",2022-01-05,2.911,3.248,3.541,3.18,"TX"
"45",2022-01-05,3.473,3.677,3.862,3.815,"UT"
"46",2022-01-05,3.15,3.539,3.865,3.487,"VA"
"47",2022-01-05,3.36,3.653,3.911,3.565,"VT"
"48",2022-01-05,3.889,4.108,4.273,3.917,"WA"
"49",2022-01-05,2.997,3.342,3.727,3.373,"WI"
"50",2022-01-05,3.21,3.488,3.785,3.608,"WV"
"51",2022-01-05,3.323,3.55,3.82,3.703,"WY"
