"","date","regular","mid","premium","diesel","state"
"1",2021-12-09,3.706,3.876,4.065,3.565,"AK"
"2",2021-12-09,3.067,3.416,3.745,3.41,"AL"
"3",2021-12-09,2.962,3.277,3.56,3.35,"AR"
"4",2021-12-09,3.765,4.035,4.29,4.046,"AZ"
"5",2021-12-09,4.682,4.877,4.999,4.831,"CA"
"6",2021-12-09,3.384,3.72,4,3.425,"CO"
"7",2021-12-09,3.533,3.835,4.053,3.693,"CT"
"8",2021-12-09,3.457,3.97,4.077,3.69,"DC"
"9",2021-12-09,3.304,3.694,3.953,3.624,"DE"
"10",2021-12-09,3.278,3.651,3.954,3.528,"FL"
"11",2021-12-09,3.158,3.515,3.838,3.486,"GA"
"12",2021-12-09,4.344,4.552,4.777,4.677,"HI"
"13",2021-12-09,3.06,3.214,3.595,3.351,"IA"
"14",2021-12-09,3.644,3.84,4.019,3.956,"ID"
"15",2021-12-09,3.483,3.856,4.237,3.601,"IL"
"16",2021-12-09,3.163,3.517,3.841,3.664,"IN"
"17",2021-12-09,2.98,3.236,3.478,3.307,"KS"
"18",2021-12-09,3.004,3.355,3.651,3.373,"KY"
"19",2021-12-09,3.07,3.392,3.704,3.274,"LA"
"20",2021-12-09,3.403,3.693,3.91,3.565,"MA"
"21",2021-12-09,3.326,3.755,4.009,3.604,"MD"
"22",2021-12-09,3.441,3.741,3.988,3.586,"ME"
"23",2021-12-09,3.215,3.559,3.896,3.506,"MI"
"24",2021-12-09,3.118,3.368,3.683,3.488,"MN"
"25",2021-12-09,2.963,3.238,3.502,3.282,"MO"
"26",2021-12-09,2.992,3.313,3.633,3.276,"MS"
"27",2021-12-09,3.394,3.659,3.914,3.732,"MT"
"28",2021-12-09,3.135,3.5,3.843,3.488,"NC"
"29",2021-12-09,3.123,3.317,3.559,3.548,"ND"
"30",2021-12-09,3.144,3.246,3.613,3.369,"NE"
"31",2021-12-09,3.326,3.65,3.92,3.498,"NH"
"32",2021-12-09,3.422,3.789,3.961,3.675,"NJ"
"33",2021-12-09,3.308,3.611,3.874,3.61,"NM"
"34",2021-12-09,3.899,4.125,4.31,3.992,"NV"
"35",2021-12-09,3.532,3.838,4.071,3.745,"NY"
"36",2021-12-09,3.111,3.446,3.778,3.684,"OH"
"37",2021-12-09,2.91,3.166,3.391,3.168,"OK"
"38",2021-12-09,3.783,3.952,4.152,3.817,"OR"
"39",2021-12-09,3.566,3.896,4.171,3.952,"PA"
"40",2021-12-09,3.4,3.753,3.994,3.602,"RI"
"41",2021-12-09,3.018,3.384,3.708,3.368,"SC"
"42",2021-12-09,3.252,3.363,3.7,3.501,"SD"
"43",2021-12-09,3.045,3.401,3.733,3.416,"TN"
"44",2021-12-09,2.927,3.268,3.557,3.22,"TX"
"45",2021-12-09,3.607,3.813,3.991,3.982,"UT"
"46",2021-12-09,3.208,3.601,3.92,3.52,"VA"
"47",2021-12-09,3.39,3.68,3.929,3.587,"VT"
"48",2021-12-09,3.867,4.094,4.257,3.879,"WA"
"49",2021-12-09,3.025,3.379,3.761,3.399,"WI"
"50",2021-12-09,3.301,3.583,3.869,3.667,"WV"
"51",2021-12-09,3.414,3.656,3.899,3.743,"WY"
