"","date","regular","mid","premium","diesel","state"
"1",2022-04-23,4.654,4.85,5.046,5.122,"AK"
"2",2022-04-23,3.833,4.206,4.538,4.916,"AL"
"3",2022-04-23,3.746,4.077,4.376,4.807,"AR"
"4",2022-04-23,4.557,4.847,5.111,5.054,"AZ"
"5",2022-04-23,5.688,5.899,6.034,6.365,"CA"
"6",2022-04-23,4.024,4.354,4.654,4.998,"CO"
"7",2022-04-23,3.996,4.332,4.569,5.192,"CT"
"8",2022-04-23,4.376,4.844,5.029,5.251,"DC"
"9",2022-04-23,4.006,4.448,4.695,5.082,"DE"
"10",2022-04-23,4.106,4.5,4.808,5.099,"FL"
"11",2022-04-23,3.719,4.115,4.467,4.788,"GA"
"12",2022-04-23,5.243,5.456,5.695,5.707,"HI"
"13",2022-04-23,3.861,4.019,4.433,4.824,"IA"
"14",2022-04-23,4.436,4.646,4.845,5.186,"ID"
"15",2022-04-23,4.407,4.789,5.178,4.934,"IL"
"16",2022-04-23,3.92,4.27,4.597,4.933,"IN"
"17",2022-04-23,3.775,4.042,4.303,4.803,"KS"
"18",2022-04-23,3.802,4.164,4.482,4.924,"KY"
"19",2022-04-23,3.862,4.202,4.508,4.849,"LA"
"20",2022-04-23,4.128,4.487,4.715,5.172,"MA"
"21",2022-04-23,4.052,4.512,4.774,5.039,"MD"
"22",2022-04-23,4.115,4.443,4.726,5.229,"ME"
"23",2022-04-23,3.936,4.27,4.615,4.901,"MI"
"24",2022-04-23,3.882,4.14,4.473,4.92,"MN"
"25",2022-04-23,3.758,4.04,4.319,4.739,"MO"
"26",2022-04-23,3.785,4.115,4.435,4.83,"MS"
"27",2022-04-23,4.089,4.362,4.635,5.098,"MT"
"28",2022-04-23,3.829,4.213,4.571,4.955,"NC"
"29",2022-04-23,3.905,4.132,4.376,4.896,"ND"
"30",2022-04-23,3.901,4.005,4.382,4.83,"NE"
"31",2022-04-23,4.04,4.433,4.698,5.097,"NH"
"32",2022-04-23,4.1,4.522,4.704,5.221,"NJ"
"33",2022-04-23,4.111,4.426,4.69,5.058,"NM"
"34",2022-04-23,5.081,5.321,5.504,5.33,"NV"
"35",2022-04-23,4.233,4.568,4.806,5.306,"NY"
"36",2022-04-23,3.763,4.109,4.455,4.932,"OH"
"37",2022-04-23,3.787,4.077,4.3,4.77,"OK"
"38",2022-04-23,4.667,4.86,5.058,5.389,"OR"
"39",2022-04-23,4.207,4.571,4.859,5.383,"PA"
"40",2022-04-23,4.096,4.483,4.725,5.126,"RI"
"41",2022-04-23,3.792,4.169,4.503,4.87,"SC"
"42",2022-04-23,3.965,4.092,4.458,4.893,"SD"
"43",2022-04-23,3.854,4.225,4.57,4.911,"TN"
"44",2022-04-23,3.781,4.127,4.433,4.802,"TX"
"45",2022-04-23,4.509,4.711,4.911,5.167,"UT"
"46",2022-04-23,3.958,4.394,4.713,4.985,"VA"
"47",2022-04-23,4.135,4.488,4.759,5.181,"VT"
"48",2022-04-23,4.687,4.915,5.103,5.522,"WA"
"49",2022-04-23,3.854,4.216,4.607,4.813,"WI"
"50",2022-04-23,3.944,4.24,4.533,4.976,"WV"
"51",2022-04-23,4.129,4.347,4.617,5.118,"WY"
