"","date","regular","mid","premium","diesel","city","state"
"1",2023-03-02,3.739,3.978,4.195,4.311,"Anchorage","AK"
"2",2023-03-02,3.773,3.938,4.128,4.861,"Fairbanks","AK"
"3",2023-03-02,4.394,4.612,4.461,4.58,"Juneau","AK"
"4",2023-03-02,2.946,3.276,3.628,4.117,"Anniston-Oxford","AL"
"5",2023-03-02,2.949,3.316,3.661,4.088,"Auburn","AL"
"6",2023-03-02,2.987,3.393,3.77,4.186,"Birmingham","AL"
"7",2023-03-02,3.081,3.483,3.873,4.114,"Daphne-Fairhope-Foley","AL"
"8",2023-03-02,2.953,3.336,3.742,4.151,"Decatur","AL"
"9",2023-03-02,3.025,3.414,3.758,4.169,"Dothan","AL"
"10",2023-03-02,2.957,3.327,3.712,4.114,"Florence-Muscle Shoals","AL"
"11",2023-03-02,2.848,3.225,3.613,4.179,"Gadsden","AL"
"12",2023-03-02,3.021,3.377,3.753,4.159,"Huntsville","AL"
"13",2023-03-02,3.073,3.507,3.874,4.239,"Mobile","AL"
"14",2023-03-02,3.026,3.451,3.813,4.263,"Montgomery","AL"
"15",2023-03-02,2.967,3.411,3.663,4.195,"Russell County","AL"
"16",2023-03-02,2.964,3.374,3.752,4.089,"Tuscaloosa","AL"
"17",2023-03-02,2.988,3.354,3.623,3.844,"Fayetteville-Springdale-Rogers","AR"
"18",2023-03-02,3.036,3.382,3.72,3.982,"Fort Smith (AR only)","AR"
"19",2023-03-02,2.89,3.243,3.605,3.941,"Hot Springs","AR"
"20",2023-03-02,2.916,3.342,3.696,4.019,"Jonesboro","AR"
"21",2023-03-02,2.979,3.343,3.671,3.945,"Little Rock-North Little Rock","AR"
"22",2023-03-02,3.054,3.496,3.892,4.046,"Pine Bluff","AR"
"23",2023-03-02,3.058,3.389,3.751,4.055,"Texarkana (AR only)","AR"
"24",2023-03-02,3.022,3.366,3.801,4.12,"West Memphis","AR"
"25",2023-03-02,3.842,4.112,4.415,4.391,"East Valley","AZ"
"26",2023-03-02,3.624,3.808,4.045,4.597,"Flagstaff","AZ"
"27",2023-03-02,3.845,4.089,4.351,4.305,"Glendale","AZ"
"28",2023-03-02,3.722,3.825,4.087,4.659,"Lake Havasu-Kingman","AZ"
"29",2023-03-02,3.843,4.057,4.378,4.464,"Peoria","AZ"
"30",2023-03-02,3.832,4.103,4.387,4.354,"Phoenix Proper","AZ"
"31",2023-03-02,3.825,4.092,4.381,4.397,"Phoenix-Mesa","AZ"
"32",2023-03-02,3.33,3.578,3.861,4.295,"Pima County","AZ"
"33",2023-03-02,3.495,3.761,4.044,4.551,"Prescott","AZ"
"34",2023-03-02,3.894,4.185,4.438,4.575,"Scottsdale","AZ"
"35",2023-03-02,3.319,3.54,3.852,4.46,"Sierra Vista-Douglas","AZ"
"36",2023-03-02,3.326,3.578,3.859,4.295,"Tucson","AZ"
"37",2023-03-02,3.839,4.071,4.357,4.361,"West Valley","AZ"
"38",2023-03-02,3.399,3.729,3.978,4.56,"Yuma","AZ"
"39",2023-03-02,4.782,4.97,5.163,5.854,"Bakersfield","CA"
"40",2023-03-02,4.58,4.726,4.913,5.304,"Chico-Paradise","CA"
"41",2023-03-02,4.744,4.916,5.089,5.686,"El Centro","CA"
"42",2023-03-02,4.735,4.892,5.084,5.643,"Fresno","CA"
"43",2023-03-02,4.814,4.816,5.012,5.566,"Hanford-Corcoran","CA"
"44",2023-03-02,4.889,5.077,5.208,5.702,"Los Angeles-Long Beach","CA"
"45",2023-03-02,4.732,4.958,5.171,5.478,"Madera-Chowchilla","CA"
"46",2023-03-02,4.645,4.824,5.021,5.531,"Merced","CA"
"47",2023-03-02,4.573,4.8,4.994,5.638,"Modesto","CA"
"48",2023-03-02,5.032,5.198,5.293,5.755,"Napa","CA"
"49",2023-03-02,4.859,5.042,5.197,5.704,"Oakland","CA"
"50",2023-03-02,4.868,5.061,5.176,5.501,"Orange County","CA"
"51",2023-03-02,4.64,4.752,4.874,5.344,"Redding","CA"
"52",2023-03-02,4.778,4.988,5.133,5.511,"Riverside","CA"
"53",2023-03-02,4.755,4.954,5.115,5.503,"Sacramento","CA"
"54",2023-03-02,4.883,5.053,5.253,5.867,"Salinas","CA"
"55",2023-03-02,4.81,4.963,5.131,5.55,"San Bernardino","CA"
"56",2023-03-02,4.887,5.093,5.239,5.546,"San Diego","CA"
"57",2023-03-02,5.005,5.14,5.315,5.72,"San Francisco","CA"
"58",2023-03-02,4.877,5.034,5.19,5.688,"San Jose","CA"
"59",2023-03-02,5.081,5.267,5.428,5.989,"San Luis Obispo-Atascadero-Paso Robles","CA"
"60",2023-03-02,4.929,5.112,5.255,5.571,"San Rafael","CA"
"61",2023-03-02,4.829,4.953,5.11,5.741,"Santa Barbara-Santa Maria-Lompoc","CA"
"62",2023-03-02,4.807,5.007,5.176,5.751,"Santa Cruz-Watsonville","CA"
"63",2023-03-02,4.974,5.158,5.308,5.664,"Santa Rosa","CA"
"64",2023-03-02,4.675,4.895,5.054,5.592,"Stockton-Lodi","CA"
"65",2023-03-02,4.789,4.988,5.119,5.514,"Vallejo-Fairfield","CA"
"66",2023-03-02,4.882,5.06,5.205,5.825,"Ventura","CA"
"67",2023-03-02,4.71,4.914,5.121,5.67,"Visalia-Tulare-Porterville","CA"
"68",2023-03-02,4.735,4.893,5.082,5.397,"Yolo","CA"
"69",2023-03-02,4.48,4.694,4.873,5.301,"Yuba City","CA"
"70",2023-03-02,4.035,4.394,4.702,4.676,"Boulder-Longmont","CO"
"71",2023-03-02,4.051,4.431,4.726,4.744,"Colorado Springs","CO"
"72",2023-03-02,4.003,4.395,4.692,4.697,"Denver","CO"
"73",2023-03-02,3.429,3.672,3.926,4.512,"Durango","CO"
"74",2023-03-02,4.069,4.423,4.726,4.778,"Fort Collins-Loveland","CO"
