"","date","regular","mid","premium","diesel","city","state"
"1",2022-09-19,4.548,4.805,4.996,5.001,"Anchorage","AK"
"2",2022-09-19,4.421,4.625,4.808,5.577,"Fairbanks","AK"
"3",2022-09-19,5.112,5.029,5.135,5.447,"Juneau","AK"
"4",2022-09-19,3.167,3.488,3.792,4.695,"Anniston-Oxford","AL"
"5",2022-09-19,3.275,3.604,3.983,4.734,"Auburn","AL"
"6",2022-09-19,3.232,3.607,3.998,4.737,"Birmingham","AL"
"7",2022-09-19,3.276,3.694,4.072,4.667,"Daphne-Fairhope-Foley","AL"
"8",2022-09-19,3.17,3.531,3.922,4.661,"Decatur","AL"
"9",2022-09-19,3.271,3.594,3.988,4.68,"Dothan","AL"
"10",2022-09-19,3.207,3.627,4.028,4.681,"Florence-Muscle Shoals","AL"
"11",2022-09-19,3.124,3.464,3.893,4.685,"Gadsden","AL"
"12",2022-09-19,3.241,3.584,3.952,4.614,"Huntsville","AL"
"13",2022-09-19,3.215,3.669,4.039,4.694,"Mobile","AL"
"14",2022-09-19,3.26,3.66,4.037,4.715,"Montgomery","AL"
"15",2022-09-19,3.308,3.708,4.154,4.777,"Russell County","AL"
"16",2022-09-19,3.221,3.56,3.961,4.644,"Tuscaloosa","AL"
"17",2022-09-19,3.374,3.737,3.999,4.664,"Fayetteville-Springdale-Rogers","AR"
"18",2022-09-19,3.307,3.624,3.957,4.641,"Fort Smith (AR only)","AR"
"19",2022-09-19,3.014,3.412,3.718,4.602,"Hot Springs","AR"
"20",2022-09-19,3.135,3.498,3.828,4.743,"Jonesboro","AR"
"21",2022-09-19,3.081,3.442,3.743,4.59,"Little Rock-North Little Rock","AR"
"22",2022-09-19,3.146,3.594,3.935,4.71,"Pine Bluff","AR"
"23",2022-09-19,3.146,3.481,3.827,4.705,"Texarkana (AR only)","AR"
"24",2022-09-19,3.171,3.497,3.893,4.685,"West Memphis","AR"
"25",2022-09-19,4.097,4.39,4.639,4.907,"East Valley","AZ"
"26",2022-09-19,4.09,4.264,4.584,4.973,"Flagstaff","AZ"
"27",2022-09-19,4.1,4.338,4.61,4.837,"Glendale","AZ"
"28",2022-09-19,4.173,4.26,4.567,4.994,"Lake Havasu-Kingman","AZ"
"29",2022-09-19,4.054,4.373,4.615,4.955,"Peoria","AZ"
"30",2022-09-19,4.07,4.338,4.622,4.928,"Phoenix Proper","AZ"
"31",2022-09-19,4.095,4.384,4.648,4.922,"Phoenix-Mesa","AZ"
"32",2022-09-19,3.463,3.736,3.998,4.894,"Pima County","AZ"
"33",2022-09-19,3.986,4.224,4.555,5.024,"Prescott","AZ"
"34",2022-09-19,4.213,4.511,4.799,4.91,"Scottsdale","AZ"
"35",2022-09-19,3.814,4.101,4.392,5.01,"Sierra Vista-Douglas","AZ"
"36",2022-09-19,3.469,3.746,4.016,4.898,"Tucson","AZ"
"37",2022-09-19,4.079,4.348,4.615,4.882,"West Valley","AZ"
"38",2022-09-19,3.776,4.126,4.343,4.903,"Yuma","AZ"
"39",2022-09-19,5.431,5.618,5.857,6.437,"Bakersfield","CA"
"40",2022-09-19,5.256,5.431,5.58,6.06,"Chico-Paradise","CA"
"41",2022-09-19,5.129,5.293,5.483,6.245,"El Centro","CA"
"42",2022-09-19,5.397,5.59,5.779,6.285,"Fresno","CA"
"43",2022-09-19,5.403,5.662,5.803,6.205,"Hanford-Corcoran","CA"
"44",2022-09-19,5.434,5.629,5.767,6.284,"Los Angeles-Long Beach","CA"
"45",2022-09-19,5.434,5.565,5.772,6.155,"Madera-Chowchilla","CA"
"46",2022-09-19,5.453,5.605,5.846,6.359,"Merced","CA"
"47",2022-09-19,5.329,5.531,5.715,6.321,"Modesto","CA"
"48",2022-09-19,5.693,5.803,5.953,6.433,"Napa","CA"
"49",2022-09-19,5.569,5.756,5.915,6.408,"Oakland","CA"
"50",2022-09-19,5.389,5.611,5.728,6.154,"Orange County","CA"
"51",2022-09-19,5.489,5.637,5.779,6.23,"Redding","CA"
"52",2022-09-19,5.309,5.515,5.662,6.186,"Riverside","CA"
"53",2022-09-19,5.422,5.638,5.778,6.258,"Sacramento","CA"
"54",2022-09-19,5.62,5.822,5.991,6.55,"Salinas","CA"
"55",2022-09-19,5.367,5.548,5.719,6.198,"San Bernardino","CA"
"56",2022-09-19,5.393,5.609,5.746,6.145,"San Diego","CA"
"57",2022-09-19,5.709,5.879,6.039,6.503,"San Francisco","CA"
"58",2022-09-19,5.566,5.761,5.885,6.409,"San Jose","CA"
"59",2022-09-19,5.706,5.882,6.009,6.595,"San Luis Obispo-Atascadero-Paso Robles","CA"
"60",2022-09-19,5.688,5.857,6.034,6.425,"San Rafael","CA"
"61",2022-09-19,5.455,5.625,5.77,6.36,"Santa Barbara-Santa Maria-Lompoc","CA"
"62",2022-09-19,5.502,5.668,5.854,6.45,"Santa Cruz-Watsonville","CA"
"63",2022-09-19,5.637,5.861,5.985,6.411,"Santa Rosa","CA"
"64",2022-09-19,5.369,5.583,5.747,6.26,"Stockton-Lodi","CA"
"65",2022-09-19,5.425,5.66,5.768,6.233,"Vallejo-Fairfield","CA"
"66",2022-09-19,5.451,5.646,5.787,6.355,"Ventura","CA"
"67",2022-09-19,5.389,5.538,5.722,6.344,"Visalia-Tulare-Porterville","CA"
"68",2022-09-19,5.391,5.617,5.776,6.183,"Yolo","CA"
"69",2022-09-19,5.229,5.357,5.571,6.134,"Yuba City","CA"
"70",2022-09-19,3.608,3.992,4.265,4.616,"Boulder-Longmont","CO"
"71",2022-09-19,3.577,3.929,4.22,4.629,"Colorado Springs","CO"
"72",2022-09-19,3.59,3.961,4.264,4.636,"Denver","CO"
"73",2022-09-19,3.971,4.196,4.433,4.824,"Durango","CO"
"74",2022-09-19,3.712,4.075,4.348,4.748,"Fort Collins-Loveland","CO"
"75",2022-09-19,3.981,4.28,4.454,4.87,"Glenwood Springs","CO"
"76",2022-09-19,3.715,3.998,4.232,4.781,"Grand Junction (CO only)","CO"
"77",2022-09-19,3.548,3.9,4.171,4.614,"Greeley","CO"
"78",2022-09-19,3.502,3.838,4.12,4.861,"Pueblo","CO"
"79",2022-09-19,4.053,4.457,4.767,4.907,"Vail","CO"
"80",2022-09-19,3.615,4.165,4.611,5.147,"Bridgeport","CT"
"81",2022-09-19,3.358,3.921,4.295,5.02,"Hartford","CT"
"82",2022-09-19,3.605,4.112,4.572,5.149,"Lower Fairfield County","CT"
"83",2022-09-19,3.461,4.01,4.379,5.09,"New Haven-Meriden","CT"
"84",2022-09-19,3.451,4.07,4.394,5.024,"New London-Norwich (CT only)","CT"
"85",2022-09-19,3.463,3.974,4.356,4.958,"Windham","CT"
"86",2022-09-19,3.833,4.461,4.782,5.054,"Washington (DC only)","DC"
"87",2022-09-19,3.628,4.122,4.434,4.811,"Washington (Entire Metro Average)","DC"
"88",2022-09-19,3.316,3.744,4.004,4.62,"Dover","DE"
"89",2022-09-19,3.31,3.69,4.006,4.596,"Milford-Seaford","DE"
"90",2022-09-19,3.356,3.936,4.179,4.657,"Wilmington-Newark (DE only)","DE"
