"","date","regular","mid","premium","diesel","city","state"
"1",2024-01-21,3.905,3.729,4.012,4.069,"Juneau","AK"
"2",2024-01-21,3.484,3.634,3.863,4.03,"Fairbanks","AK"
"3",2024-01-21,3.509,3.817,4.005,3.805,"Anchorage","AK"
"4",2024-01-21,2.8,3.238,3.623,3.754,"Birmingham","AL"
"5",2024-01-21,2.825,3.202,3.586,3.682,"Huntsville","AL"
"6",2024-01-21,2.817,3.252,3.611,3.64,"Mobile","AL"
"7",2024-01-21,2.813,3.271,3.684,3.767,"Montgomery","AL"
"8",2024-01-21,2.778,3.163,3.558,3.696,"Tuscaloosa","AL"
"9",2024-01-21,2.74,3.109,3.45,3.689,"Anniston-Oxford","AL"
"10",2024-01-21,2.783,3.138,3.49,3.665,"Auburn","AL"
"11",2024-01-21,2.797,3.214,3.593,3.624,"Daphne-Fairhope-Foley","AL"
"12",2024-01-21,2.781,3.172,3.532,3.716,"Decatur","AL"
"13",2024-01-21,2.816,3.192,3.576,3.794,"Dothan","AL"
"14",2024-01-21,2.72,3.081,3.458,3.611,"Florence-Muscle Shoals","AL"
"15",2024-01-21,2.692,3.03,3.442,3.652,"Gadsden","AL"
"16",2024-01-21,2.804,3.243,3.567,3.906,"Russell County","AL"
"17",2024-01-21,2.575,2.932,3.277,3.341,"Fayetteville-Springdale-Rogers","AR"
"18",2024-01-21,2.61,3.018,3.406,3.596,"Little Rock-North Little Rock","AR"
"19",2024-01-21,2.696,3.055,3.611,3.632,"Pine Bluff","AR"
"20",2024-01-21,2.561,2.943,3.266,3.64,"Fort Smith (AR only)","AR"
"21",2024-01-21,2.776,3.13,3.544,3.616,"Texarkana (AR only)","AR"
"22",2024-01-21,2.614,3.119,3.501,3.679,"Hot Springs","AR"
"23",2024-01-21,2.654,3.118,3.424,3.654,"Jonesboro","AR"
"24",2024-01-21,2.738,3.019,3.537,3.482,"West Memphis","AR"
"25",2024-01-21,3.128,3.368,3.664,3.995,"Flagstaff","AZ"
"26",2024-01-21,3.098,3.431,3.727,3.838,"Phoenix-Mesa","AZ"
"27",2024-01-21,3.026,3.331,3.624,3.801,"Pima County","AZ"
"28",2024-01-21,3.328,3.723,3.925,4.345,"Yuma","AZ"
"29",2024-01-21,3.087,3.424,3.715,3.824,"Phoenix Proper","AZ"
"30",2024-01-21,3.095,3.421,3.727,3.817,"East Valley","AZ"
"31",2024-01-21,3.1,3.467,3.734,3.803,"West Valley","AZ"
"32",2024-01-21,3.293,3.642,3.893,4.083,"Scottsdale","AZ"
"33",2024-01-21,3.018,3.322,3.616,3.804,"Tucson","AZ"
"34",2024-01-21,3.069,3.406,3.704,3.782,"Glendale","AZ"
"35",2024-01-21,3.181,3.537,3.796,3.847,"Peoria","AZ"
"36",2024-01-21,3.168,3.447,3.747,3.837,"Prescott","AZ"
"37",2024-01-21,3.293,3.404,3.728,3.932,"Lake Havasu-Kingman","AZ"
"38",2024-01-21,3.17,3.489,3.786,4.029,"Sierra Vista-Douglas","AZ"
"39",2024-01-21,4.608,4.805,5.027,5.591,"Bakersfield","CA"
"40",2024-01-21,4.344,4.546,4.709,4.99,"Chico-Paradise","CA"
"41",2024-01-21,4.44,4.638,4.825,5.393,"Fresno","CA"
"42",2024-01-21,4.565,4.781,4.916,5.395,"Los Angeles-Long Beach","CA"
"43",2024-01-21,4.381,4.601,4.789,5.369,"Merced","CA"
"44",2024-01-21,4.263,4.511,4.697,5.194,"Modesto","CA"
"45",2024-01-21,4.535,4.745,4.922,5.399,"Oakland","CA"
"46",2024-01-21,4.461,4.67,4.801,5.202,"Orange County","CA"
"47",2024-01-21,4.295,4.474,4.558,4.868,"Redding","CA"
"48",2024-01-21,4.384,4.613,4.774,5.104,"Riverside","CA"
"49",2024-01-21,4.449,4.671,4.841,5.147,"Sacramento","CA"
"50",2024-01-21,4.688,4.855,5.043,5.649,"Salinas","CA"
"51",2024-01-21,4.582,4.782,4.945,5.229,"San Diego","CA"
"52",2024-01-21,4.716,4.918,5.077,5.412,"San Francisco","CA"
"53",2024-01-21,4.494,4.714,4.872,5.381,"San Jose","CA"
