"","date","regular","mid","premium","diesel","city","state"
"1",2021-12-23,3.659,3.897,4.114,3.528,"Anchorage","AK"
"2",2021-12-23,3.799,3.948,4.112,3.618,"Fairbanks","AK"
"3",2021-12-23,3.543,3.574,3.691,3.333,"Juneau","AK"
"4",2021-12-23,2.903,3.241,3.593,3.344,"Anniston-Oxford","AL"
"5",2021-12-23,3.023,3.352,3.647,3.387,"Auburn","AL"
"6",2021-12-23,2.999,3.349,3.689,3.403,"Birmingham","AL"
"7",2021-12-23,3.034,3.375,3.74,3.29,"Daphne-Fairhope-Foley","AL"
"8",2021-12-23,2.923,3.28,3.572,3.334,"Decatur","AL"
"9",2021-12-23,3.023,3.361,3.696,3.422,"Dothan","AL"
"10",2021-12-23,2.917,3.259,3.613,3.313,"Florence-Muscle Shoals","AL"
"11",2021-12-23,2.846,3.196,3.473,3.346,"Gadsden","AL"
"12",2021-12-23,2.99,3.344,3.669,3.357,"Huntsville","AL"
"13",2021-12-23,3.036,3.424,3.745,3.378,"Mobile","AL"
"14",2021-12-23,3.05,3.444,3.775,3.387,"Montgomery","AL"
"15",2021-12-23,2.992,3.305,3.63,3.458,"Russell County","AL"
"16",2021-12-23,2.974,3.303,3.638,3.324,"Tuscaloosa","AL"
"17",2021-12-23,2.823,3.148,3.375,3.172,"Fayetteville-Springdale-Rogers","AR"
"18",2021-12-23,2.921,3.261,3.475,3.339,"Fort Smith (AR only)","AR"
"19",2021-12-23,2.925,3.261,3.558,3.219,"Hot Springs","AR"
"20",2021-12-23,2.893,3.237,3.553,3.389,"Jonesboro","AR"
"21",2021-12-23,2.882,3.184,3.502,3.288,"Little Rock-North Little Rock","AR"
"22",2021-12-23,2.921,3.257,3.505,3.397,"Pine Bluff","AR"
"23",2021-12-23,3.059,3.336,3.672,3.365,"Texarkana (AR only)","AR"
"24",2021-12-23,2.985,3.365,3.736,3.445,"West Memphis","AR"
"25",2021-12-23,3.751,4.076,4.34,3.946,"East Valley","AZ"
"26",2021-12-23,3.854,4.055,4.27,4.061,"Flagstaff","AZ"
"27",2021-12-23,3.733,4.091,4.341,3.977,"Glendale","AZ"
"28",2021-12-23,3.541,3.671,3.964,3.932,"Lake Havasu-Kingman","AZ"
"29",2021-12-23,3.787,4.078,4.375,4.005,"Peoria","AZ"
"30",2021-12-23,3.707,4.034,4.293,3.96,"Phoenix Proper","AZ"
"31",2021-12-23,3.741,4.068,4.325,3.97,"Phoenix-Mesa","AZ"
"32",2021-12-23,3.488,3.762,3.992,3.859,"Pima County","AZ"
"33",2021-12-23,3.61,3.78,4.035,3.935,"Prescott","AZ"
"34",2021-12-23,3.809,4.139,4.381,3.995,"Scottsdale","AZ"
"35",2021-12-23,3.553,3.777,4.009,3.813,"Sierra Vista-Douglas","AZ"
"36",2021-12-23,3.486,3.764,3.992,3.853,"Tucson","AZ"
"37",2021-12-23,3.754,4.088,4.356,3.987,"West Valley","AZ"
"38",2021-12-23,3.728,3.99,4.224,4.019,"Yuma","AZ"
"39",2021-12-23,4.623,4.815,4.965,4.787,"Bakersfield","CA"
"40",2021-12-23,4.497,4.67,4.803,4.66,"Chico-Paradise","CA"
"41",2021-12-23,4.497,4.673,4.856,4.767,"El Centro","CA"
"42",2021-12-23,4.55,4.755,4.881,4.762,"Fresno","CA"
"43",2021-12-23,4.418,4.6,4.716,4.69,"Hanford-Corcoran","CA"
"44",2021-12-23,4.672,4.864,4.971,4.787,"Los Angeles-Long Beach","CA"
"45",2021-12-23,4.529,4.784,4.906,4.785,"Madera-Chowchilla","CA"
"46",2021-12-23,4.566,4.759,4.945,4.78,"Merced","CA"
"47",2021-12-23,4.501,4.71,4.868,4.758,"Modesto","CA"
"48",2021-12-23,4.893,5,5.115,4.908,"Napa","CA"
"49",2021-12-23,4.739,4.934,5.068,4.866,"Oakland","CA"
"50",2021-12-23,4.637,4.838,4.937,4.723,"Orange County","CA"
"51",2021-12-23,4.621,4.779,4.902,4.748,"Redding","CA"
"52",2021-12-23,4.603,4.803,4.924,4.745,"Riverside","CA"
"53",2021-12-23,4.658,4.865,5.006,4.843,"Sacramento","CA"
"54",2021-12-23,4.762,4.955,5.08,4.976,"Salinas","CA"
"55",2021-12-23,4.645,4.826,4.957,4.777,"San Bernardino","CA"
"56",2021-12-23,4.618,4.813,4.919,4.744,"San Diego","CA"
"57",2021-12-23,4.84,5.035,5.174,4.926,"San Francisco","CA"
"58",2021-12-23,4.763,4.967,5.087,4.897,"San Jose","CA"
"59",2021-12-23,4.808,5.004,5.135,4.952,"San Luis Obispo-Atascadero-Paso Robles","CA"
"60",2021-12-23,4.804,5.007,5.157,4.934,"San Rafael","CA"
"61",2021-12-23,4.612,4.777,4.899,4.784,"Santa Barbara-Santa Maria-Lompoc","CA"
"62",2021-12-23,4.711,4.924,5.055,4.9,"Santa Cruz-Watsonville","CA"
"63",2021-12-23,4.804,4.993,5.129,4.912,"Santa Rosa","CA"
"64",2021-12-23,4.578,4.778,4.929,4.742,"Stockton-Lodi","CA"
"65",2021-12-23,4.65,4.877,4.976,4.814,"Vallejo-Fairfield","CA"
"66",2021-12-23,4.657,4.848,4.955,4.768,"Ventura","CA"
"67",2021-12-23,4.595,4.79,4.947,4.785,"Visalia-Tulare-Porterville","CA"
