"","date","regular","mid","premium","diesel","city","state"
"1",2022-08-27,4.802,5.04,5.251,5.17,"Anchorage","AK"
"2",2022-08-27,4.63,4.777,4.953,5.65,"Fairbanks","AK"
"3",2022-08-27,5.205,5.186,5.482,5.667,"Juneau","AK"
"4",2022-08-27,3.419,3.764,4.042,4.734,"Anniston-Oxford","AL"
"5",2022-08-27,3.436,3.717,4.09,4.785,"Auburn","AL"
"6",2022-08-27,3.445,3.834,4.232,4.816,"Birmingham","AL"
"7",2022-08-27,3.478,3.897,4.284,4.79,"Daphne-Fairhope-Foley","AL"
"8",2022-08-27,3.413,3.792,4.133,4.758,"Decatur","AL"
"9",2022-08-27,3.474,3.836,4.216,4.818,"Dothan","AL"
"10",2022-08-27,3.431,3.839,4.215,4.721,"Florence-Muscle Shoals","AL"
"11",2022-08-27,3.392,3.759,4.132,4.771,"Gadsden","AL"
"12",2022-08-27,3.466,3.833,4.196,4.723,"Huntsville","AL"
"13",2022-08-27,3.463,3.971,4.323,4.835,"Mobile","AL"
"14",2022-08-27,3.439,3.872,4.292,4.791,"Montgomery","AL"
"15",2022-08-27,3.467,3.787,4.144,4.747,"Russell County","AL"
"16",2022-08-27,3.399,3.737,4.129,4.692,"Tuscaloosa","AL"
"17",2022-08-27,3.336,3.696,4.018,4.708,"Fayetteville-Springdale-Rogers","AR"
"18",2022-08-27,3.388,3.78,4.074,4.737,"Fort Smith (AR only)","AR"
"19",2022-08-27,3.345,3.699,4.066,4.695,"Hot Springs","AR"
"20",2022-08-27,3.281,3.627,3.979,4.794,"Jonesboro","AR"
"21",2022-08-27,3.321,3.71,3.991,4.67,"Little Rock-North Little Rock","AR"
"22",2022-08-27,3.463,3.785,4.266,4.698,"Pine Bluff","AR"
"23",2022-08-27,3.365,3.697,4.046,4.81,"Texarkana (AR only)","AR"
"24",2022-08-27,3.409,3.753,4.207,4.816,"West Memphis","AR"
"25",2022-08-27,3.997,4.343,4.62,4.952,"East Valley","AZ"
"26",2022-08-27,4.239,4.438,4.719,5.055,"Flagstaff","AZ"
"27",2022-08-27,3.931,4.256,4.51,4.934,"Glendale","AZ"
"28",2022-08-27,4.338,4.47,4.763,5.011,"Lake Havasu-Kingman","AZ"
"29",2022-08-27,3.969,4.308,4.59,4.988,"Peoria","AZ"
"30",2022-08-27,3.954,4.274,4.548,4.957,"Phoenix Proper","AZ"
"31",2022-08-27,3.996,4.324,4.601,4.963,"Phoenix-Mesa","AZ"
"32",2022-08-27,3.739,4.013,4.286,4.946,"Pima County","AZ"
"33",2022-08-27,4.155,4.446,4.69,5.11,"Prescott","AZ"
"34",2022-08-27,4.163,4.492,4.741,4.935,"Scottsdale","AZ"
"35",2022-08-27,4.014,4.315,4.624,5.037,"Sierra Vista-Douglas","AZ"
"36",2022-08-27,3.746,4.024,4.297,4.947,"Tucson","AZ"
"37",2022-08-27,3.942,4.266,4.527,4.958,"West Valley","AZ"
"38",2022-08-27,3.994,4.286,4.527,4.945,"Yuma","AZ"
"39",2022-08-27,5.353,5.564,5.77,6.393,"Bakersfield","CA"
"40",2022-08-27,5.089,5.329,5.429,6.104,"Chico-Paradise","CA"
"41",2022-08-27,4.998,5.221,5.407,6.26,"El Centro","CA"
"42",2022-08-27,5.263,5.493,5.664,6.333,"Fresno","CA"
"43",2022-08-27,5.19,5.478,5.566,6.154,"Hanford-Corcoran","CA"
"44",2022-08-27,5.285,5.489,5.616,6.296,"Los Angeles-Long Beach","CA"
"45",2022-08-27,5.162,5.406,5.66,6.197,"Madera-Chowchilla","CA"
"46",2022-08-27,5.16,5.409,5.567,6.32,"Merced","CA"
"47",2022-08-27,5.105,5.345,5.524,6.274,"Modesto","CA"
"48",2022-08-27,5.487,5.62,5.75,6.425,"Napa","CA"
"49",2022-08-27,5.353,5.572,5.709,6.415,"Oakland","CA"
"50",2022-08-27,5.189,5.399,5.515,6.174,"Orange County","CA"
"51",2022-08-27,5.314,5.484,5.614,6.2,"Redding","CA"
"52",2022-08-27,5.17,5.394,5.529,6.164,"Riverside","CA"
"53",2022-08-27,5.166,5.393,5.546,6.274,"Sacramento","CA"
"54",2022-08-27,5.481,5.686,5.876,6.579,"Salinas","CA"
"55",2022-08-27,5.222,5.376,5.563,6.166,"San Bernardino","CA"
"56",2022-08-27,5.25,5.473,5.61,6.154,"San Diego","CA"
"57",2022-08-27,5.487,5.689,5.849,6.464,"San Francisco","CA"
"58",2022-08-27,5.333,5.548,5.682,6.403,"San Jose","CA"
"59",2022-08-27,5.66,5.877,6.02,6.646,"San Luis Obispo-Atascadero-Paso Robles","CA"
"60",2022-08-27,5.365,5.568,5.719,6.499,"San Rafael","CA"
"61",2022-08-27,5.43,5.615,5.723,6.39,"Santa Barbara-Santa Maria-Lompoc","CA"
"62",2022-08-27,5.444,5.678,5.809,6.513,"Santa Cruz-Watsonville","CA"
"63",2022-08-27,5.44,5.638,5.785,6.458,"Santa Rosa","CA"
"64",2022-08-27,5.184,5.405,5.579,6.297,"Stockton-Lodi","CA"
"65",2022-08-27,5.228,5.445,5.591,6.313,"Vallejo-Fairfield","CA"
"66",2022-08-27,5.34,5.556,5.684,6.338,"Ventura","CA"
"67",2022-08-27,5.252,5.452,5.646,6.343,"Visalia-Tulare-Porterville","CA"
"68",2022-08-27,5.128,5.335,5.521,6.185,"Yolo","CA"
"69",2022-08-27,5.063,5.287,5.46,6.216,"Yuba City","CA"
"70",2022-08-27,3.75,4.152,4.468,4.743,"Boulder-Longmont","CO"
"71",2022-08-27,3.755,4.144,4.451,4.721,"Colorado Springs","CO"
"72",2022-08-27,3.772,4.166,4.466,4.716,"Denver","CO"
"73",2022-08-27,3.801,4.043,4.285,4.94,"Durango","CO"
"74",2022-08-27,3.865,4.213,4.527,4.842,"Fort Collins-Loveland","CO"
"75",2022-08-27,4.081,4.424,4.508,4.989,"Glenwood Springs","CO"
"76",2022-08-27,3.927,4.216,4.501,4.842,"Grand Junction (CO only)","CO"
