"","date","regular","mid","premium","diesel","city","state"
"1",2021-12-07,3.673,3.886,4.101,3.529,"Anchorage","AK"
"2",2021-12-07,3.79,3.96,4.065,3.616,"Fairbanks","AK"
"3",2021-12-07,3.595,3.614,3.723,3.364,"Juneau","AK"
"4",2021-12-07,2.998,3.327,3.647,3.357,"Anniston-Oxford","AL"
"5",2021-12-07,3.11,3.46,3.726,3.444,"Auburn","AL"
"6",2021-12-07,3.069,3.418,3.749,3.422,"Birmingham","AL"
"7",2021-12-07,3.113,3.453,3.782,3.354,"Daphne-Fairhope-Foley","AL"
"8",2021-12-07,3.026,3.357,3.659,3.393,"Decatur","AL"
"9",2021-12-07,3.127,3.434,3.76,3.477,"Dothan","AL"
"10",2021-12-07,3.022,3.363,3.673,3.37,"Florence-Muscle Shoals","AL"
"11",2021-12-07,2.991,3.33,3.709,3.371,"Gadsden","AL"
"12",2021-12-07,3.075,3.414,3.712,3.376,"Huntsville","AL"
"13",2021-12-07,3.102,3.489,3.783,3.429,"Mobile","AL"
"14",2021-12-07,3.116,3.483,3.795,3.432,"Montgomery","AL"
"15",2021-12-07,3.093,3.443,3.748,3.516,"Russell County","AL"
"16",2021-12-07,3.069,3.395,3.739,3.358,"Tuscaloosa","AL"
"17",2021-12-07,2.888,3.198,3.475,3.234,"Fayetteville-Springdale-Rogers","AR"
"18",2021-12-07,2.951,3.277,3.502,3.387,"Fort Smith (AR only)","AR"
"19",2021-12-07,2.981,3.307,3.618,3.28,"Hot Springs","AR"
"20",2021-12-07,2.912,3.265,3.542,3.406,"Jonesboro","AR"
"21",2021-12-07,2.934,3.204,3.502,3.33,"Little Rock-North Little Rock","AR"
"22",2021-12-07,2.946,3.315,3.587,3.44,"Pine Bluff","AR"
"23",2021-12-07,3.106,3.384,3.669,3.383,"Texarkana (AR only)","AR"
"24",2021-12-07,3.093,3.521,3.873,3.591,"West Memphis","AR"
"25",2021-12-07,3.86,4.151,4.429,4.063,"East Valley","AZ"
"26",2021-12-07,3.948,4.102,4.316,4.259,"Flagstaff","AZ"
"27",2021-12-07,3.845,4.173,4.403,4.057,"Glendale","AZ"
"28",2021-12-07,3.688,3.863,4.093,4.088,"Lake Havasu-Kingman","AZ"
"29",2021-12-07,3.818,4.122,4.407,4.024,"Peoria","AZ"
"30",2021-12-07,3.838,4.129,4.397,4.055,"Phoenix Proper","AZ"
"31",2021-12-07,3.858,4.154,4.42,4.071,"Phoenix-Mesa","AZ"
"32",2021-12-07,3.569,3.817,4.051,3.964,"Pima County","AZ"
"33",2021-12-07,3.721,3.913,4.17,4.165,"Prescott","AZ"
"34",2021-12-07,3.962,4.253,4.527,4.189,"Scottsdale","AZ"
"35",2021-12-07,3.612,3.858,4.132,3.896,"Sierra Vista-Douglas","AZ"
"36",2021-12-07,3.568,3.817,4.051,3.95,"Tucson","AZ"
"37",2021-12-07,3.833,4.145,4.396,4.042,"West Valley","AZ"
"38",2021-12-07,3.732,3.986,4.233,4.13,"Yuma","AZ"
"39",2021-12-07,4.649,4.839,4.992,4.804,"Bakersfield","CA"
"40",2021-12-07,4.554,4.749,4.857,4.697,"Chico-Paradise","CA"
"41",2021-12-07,4.555,4.75,4.94,4.814,"El Centro","CA"
"42",2021-12-07,4.602,4.796,4.928,4.795,"Fresno","CA"
"43",2021-12-07,4.48,4.642,4.808,4.767,"Hanford-Corcoran","CA"
"44",2021-12-07,4.687,4.882,4.989,4.822,"Los Angeles-Long Beach","CA"
"45",2021-12-07,4.594,4.828,4.994,4.811,"Madera-Chowchilla","CA"
"46",2021-12-07,4.635,4.812,4.991,4.83,"Merced","CA"
"47",2021-12-07,4.584,4.781,4.947,4.794,"Modesto","CA"
"48",2021-12-07,4.902,5.029,5.163,4.923,"Napa","CA"
"49",2021-12-07,4.766,4.952,5.089,4.894,"Oakland","CA"
"50",2021-12-07,4.661,4.859,4.962,4.763,"Orange County","CA"
"51",2021-12-07,4.659,4.787,4.918,4.827,"Redding","CA"
"52",2021-12-07,4.615,4.811,4.935,4.776,"Riverside","CA"
"53",2021-12-07,4.696,4.901,5.035,4.886,"Sacramento","CA"
"54",2021-12-07,4.773,4.949,5.104,5.004,"Salinas","CA"
"55",2021-12-07,4.649,4.841,4.972,4.807,"San Bernardino","CA"
"56",2021-12-07,4.64,4.832,4.948,4.766,"San Diego","CA"
"57",2021-12-07,4.863,5.052,5.193,4.947,"San Francisco","CA"
"58",2021-12-07,4.783,4.985,5.109,4.903,"San Jose","CA"
"59",2021-12-07,4.838,5.029,5.148,5,"San Luis Obispo-Atascadero-Paso Robles","CA"
"60",2021-12-07,4.839,5.02,5.2,4.984,"San Rafael","CA"
"61",2021-12-07,4.631,4.802,4.92,4.813,"Santa Barbara-Santa Maria-Lompoc","CA"
"62",2021-12-07,4.746,4.956,5.082,4.927,"Santa Cruz-Watsonville","CA"
"63",2021-12-07,4.84,5.029,5.144,4.959,"Santa Rosa","CA"
"64",2021-12-07,4.641,4.846,4.979,4.81,"Stockton-Lodi","CA"
"65",2021-12-07,4.691,4.9,5.014,4.87,"Vallejo-Fairfield","CA"
"66",2021-12-07,4.676,4.859,4.978,4.775,"Ventura","CA"
"67",2021-12-07,4.648,4.816,4.979,4.809,"Visalia-Tulare-Porterville","CA"
"68",2021-12-07,4.641,4.853,4.976,4.87,"Yolo","CA"
"69",2021-12-07,4.566,4.763,4.897,4.779,"Yuba City","CA"
"70",2021-12-07,3.441,3.814,4.094,3.33,"Boulder-Longmont","CO"
"71",2021-12-07,3.406,3.776,4.066,3.399,"Colorado Springs","CO"
"72",2021-12-07,3.33,3.702,3.98,3.353,"Denver","CO"
"73",2021-12-07,3.655,3.87,4.164,3.896,"Durango","CO"
"74",2021-12-07,3.394,3.739,4.017,3.433,"Fort Collins-Loveland","CO"
"75",2021-12-07,3.657,3.939,4.226,3.651,"Glenwood Springs","CO"
"76",2021-12-07,3.337,3.572,3.831,3.449,"Grand Junction (CO only)","CO"
"77",2021-12-07,3.227,3.575,3.844,3.32,"Greeley","CO"
"78",2021-12-07,3.558,3.899,4.216,3.491,"Pueblo","CO"
"79",2021-12-07,3.66,3.999,4.269,3.653,"Vail","CO"
"80",2021-12-07,3.615,3.888,4.136,3.75,"Bridgeport","CT"
"81",2021-12-07,3.5,3.822,4.062,3.662,"Hartford","CT"
"82",2021-12-07,3.61,3.85,4.102,3.737,"Lower Fairfield County","CT"
"83",2021-12-07,3.524,3.804,4.013,3.694,"New Haven-Meriden","CT"
"84",2021-12-07,3.525,3.837,4.034,3.691,"New London-Norwich (CT only)","CT"
"85",2021-12-07,3.542,3.764,3.982,3.701,"Windham","CT"
"86",2021-12-07,3.445,3.95,4.091,3.613,"Washington (DC only)","DC"
"87",2021-12-07,3.35,3.779,4.056,3.608,"Washington (Entire Metro Average)","DC"
"88",2021-12-07,3.308,3.625,3.887,3.638,"Dover","DE"
"89",2021-12-07,3.324,3.641,3.943,3.654,"Milford-Seaford","DE"
"90",2021-12-07,3.325,3.778,4.014,3.619,"Wilmington-Newark (DE only)","DE"
"91",2021-12-07,3.278,3.665,3.968,3.508,"Bradenton-Sarasota-Venice","FL"
"92",2021-12-07,3.158,3.558,3.808,3.403,"Crestview-Fort Walton Beach","FL"
"93",2021-12-07,3.287,3.657,3.974,3.544,"Daytona Beach","FL"
"94",2021-12-07,3.345,3.724,4.023,3.569,"Fort Lauderdale","FL"
"95",2021-12-07,3.284,3.668,3.95,3.495,"Fort Myers-Cape Coral","FL"
"96",2021-12-07,3.292,3.64,3.972,3.6,"Gainesville","FL"
"97",2021-12-07,3.297,3.639,3.951,3.57,"Homosassa Springs","FL"
"98",2021-12-07,3.267,3.622,3.963,3.539,"Jacksonville","FL"
"99",2021-12-07,3.263,3.613,3.927,3.554,"Lakeland-Winter Haven","FL"
"100",2021-12-07,3.272,3.66,3.975,3.542,"Melbourne-Titusville","FL"
"101",2021-12-07,3.306,3.641,3.91,3.525,"Miami","FL"
"102",2021-12-07,3.367,3.734,4.04,3.566,"Naples","FL"
"103",2021-12-07,3.216,3.584,3.889,3.544,"Ocala","FL"
"104",2021-12-07,3.263,3.635,3.93,3.515,"Orlando","FL"
"105",2021-12-07,3.222,3.544,3.889,3.429,"Panama City","FL"
"106",2021-12-07,3.212,3.564,3.871,3.412,"Pensacola","FL"
"107",2021-12-07,3.305,3.676,4,3.554,"Port St. Lucie","FL"
"108",2021-12-07,3.211,3.592,3.904,3.501,"Punta Gorda","FL"
"109",2021-12-07,3.326,3.719,4.005,3.584,"Sebastian-Vero Beach","FL"
"110",2021-12-07,3.28,3.59,3.974,3.532,"Sebring","FL"
"111",2021-12-07,3.218,3.555,3.905,3.502,"Tallahassee","FL"
"112",2021-12-07,3.269,3.652,3.963,3.523,"Tampa-St. Petersburg-Clearwater","FL"
"113",2021-12-07,3.182,3.58,3.934,3.526,"The Villages","FL"
"114",2021-12-07,3.462,3.843,4.147,3.634,"West Palm Beach-Boca Raton","FL"
"115",2021-12-07,3.051,3.441,3.747,3.396,"Albany","GA"
"116",2021-12-07,3.196,3.528,3.841,3.453,"Athens","GA"
"117",2021-12-07,3.201,3.538,3.878,3.492,"Atlanta","GA"
"118",2021-12-07,3.106,3.485,3.822,3.461,"Augusta-Aiken (GA only)","GA"
"119",2021-12-07,3.241,3.588,3.887,3.561,"Brunswick","GA"
"120",2021-12-07,3.061,3.477,3.793,3.456,"Catoosa-Dade-Walker","GA"
"121",2021-12-07,3.063,3.39,3.725,3.458,"Columbus (GA only)","GA"
"122",2021-12-07,3.117,3.481,3.799,3.423,"Dalton","GA"
"123",2021-12-07,3.155,3.484,3.801,3.42,"Gainesville","GA"
"124",2021-12-07,3.235,3.501,3.901,3.671,"Hinesville-Fort Stewart","GA"
"125",2021-12-07,3.119,3.513,3.865,3.55,"Macon","GA"
"126",2021-12-07,3.12,3.502,3.819,3.422,"Rome","GA"
"127",2021-12-07,3.24,3.612,3.91,3.588,"Savannah","GA"
"128",2021-12-07,3.127,3.485,3.729,3.462,"Valdosta","GA"
"129",2021-12-07,3.044,3.378,3.686,3.401,"Warner Robins","GA"
"130",2021-12-07,4.355,4.544,4.893,4.659,"Hilo","HI"
"131",2021-12-07,4.237,4.487,4.753,4.583,"Honolulu","HI"
"132",2021-12-07,4.518,4.697,4.877,4.851,"Kahului","HI"
"133",2021-12-07,4.626,4.923,4.996,5.079,"Lihue (Kauai)","HI"
"134",2021-12-07,4.518,4.697,4.877,4.851,"Wailuku","HI"
"135",2021-12-07,3.132,3.262,3.651,3.293,"Ames","IA"
"136",2021-12-07,3.026,3.202,3.755,3.291,"Cedar Rapids","IA"
"137",2021-12-07,3.04,3.297,3.614,3.275,"Council Bluffs","IA"
"138",2021-12-07,3.049,3.274,3.684,3.467,"Davenport-Moline-Rock Island (IA only)","IA"
"139",2021-12-07,2.989,3.035,3.48,3.318,"Des Moines","IA"
"140",2021-12-07,3.163,3.359,3.726,3.454,"Dubuque","IA"
"141",2021-12-07,3.152,3.366,3.826,3.346,"Iowa City","IA"
"142",2021-12-07,3.171,3.393,3.749,3.468,"Sioux City (IA only)","IA"
"143",2021-12-07,2.984,3.091,3.613,3.288,"Waterloo-Cedar Falls","IA"
"144",2021-12-07,3.765,3.885,4.048,4.056,"Boise City","ID"
"145",2021-12-07,3.337,3.53,3.756,3.587,"Coeur D'Alene","ID"
"146",2021-12-07,3.637,3.886,4.037,3.991,"Franklin","ID"
"147",2021-12-07,3.586,3.777,3.964,3.986,"Idaho Falls","ID"
"148",2021-12-07,3.313,3.422,3.772,3.626,"Lewiston","ID"
"149",2021-12-07,3.7,3.855,4.06,3.997,"Pocatello","ID"
"150",2021-12-07,3.757,3.945,4.13,4.1,"Twin Falls","ID"
"151",2021-12-07,3.499,0,0,3.699,"Alexander County","IL"
"152",2021-12-07,3.417,3.729,4.022,3.531,"Bloomington-Normal","IL"
"153",2021-12-07,3.413,3.732,4.038,3.613,"Carbondale-Marion","IL"
"154",2021-12-07,3.473,3.791,4.13,3.538,"Champaign-Urbana","IL"
"155",2021-12-07,3.584,3.979,4.393,3.654,"Chicago Metro","IL"
"156",2021-12-07,3.864,4.289,4.711,3.846,"City of Chicago","IL"
