"","date","regular","mid","premium","diesel","city","state"
"1",2021-10-06,3.65,3.855,4.077,3.329,"Anchorage","AK"
"2",2021-10-06,3.767,3.91,4.035,3.447,"Fairbanks","AK"
"3",2021-10-06,3.622,3.669,3.752,3.241,"Juneau","AK"
"4",2021-10-06,2.879,3.176,3.482,3.1,"Anniston-Oxford","AL"
"5",2021-10-06,2.932,3.225,3.558,3.136,"Auburn","AL"
"6",2021-10-06,2.892,3.2,3.546,3.175,"Birmingham","AL"
"7",2021-10-06,3.009,3.336,3.678,3.193,"Daphne-Fairhope-Foley","AL"
"8",2021-10-06,2.857,3.145,3.479,3.117,"Decatur","AL"
"9",2021-10-06,2.961,3.307,3.628,3.178,"Dothan","AL"
"10",2021-10-06,2.897,3.185,3.545,3.13,"Florence-Muscle Shoals","AL"
"11",2021-10-06,2.837,3.173,3.477,3.099,"Gadsden","AL"
"12",2021-10-06,2.9,3.208,3.527,3.111,"Huntsville","AL"
"13",2021-10-06,2.97,3.317,3.644,3.201,"Mobile","AL"
"14",2021-10-06,2.96,3.333,3.664,3.203,"Montgomery","AL"
"15",2021-10-06,2.97,3.291,3.602,3.233,"Russell County","AL"
"16",2021-10-06,2.874,3.171,3.532,3.148,"Tuscaloosa","AL"
"17",2021-10-06,2.869,3.166,3.439,3.138,"Fayetteville-Springdale-Rogers","AR"
"18",2021-10-06,2.841,3.147,3.377,3.139,"Fort Smith (AR only)","AR"
"19",2021-10-06,2.846,3.122,3.361,3.042,"Hot Springs","AR"
"20",2021-10-06,2.894,3.178,3.475,3.142,"Jonesboro","AR"
"21",2021-10-06,2.829,3.11,3.42,3.109,"Little Rock-North Little Rock","AR"
"22",2021-10-06,2.909,3.296,3.457,3.137,"Pine Bluff","AR"
"23",2021-10-06,2.974,3.267,3.619,3.246,"Texarkana (AR only)","AR"
"24",2021-10-06,2.901,3.313,3.718,3.278,"West Memphis","AR"
"25",2021-10-06,3.239,3.548,3.816,3.288,"East Valley","AZ"
"26",2021-10-06,3.45,3.588,3.856,3.532,"Flagstaff","AZ"
"27",2021-10-06,3.234,3.566,3.796,3.326,"Glendale","AZ"
"28",2021-10-06,3.351,3.517,3.7,3.51,"Lake Havasu-Kingman","AZ"
"29",2021-10-06,3.247,3.549,3.841,3.347,"Peoria","AZ"
"30",2021-10-06,3.192,3.498,3.774,3.311,"Phoenix Proper","AZ"
"31",2021-10-06,3.235,3.539,3.812,3.314,"Phoenix-Mesa","AZ"
"32",2021-10-06,3.119,3.374,3.617,3.26,"Pima County","AZ"
"33",2021-10-06,3.219,3.43,3.706,3.377,"Prescott","AZ"
"34",2021-10-06,3.322,3.62,3.884,3.32,"Scottsdale","AZ"
"35",2021-10-06,3.136,3.377,3.615,3.284,"Sierra Vista-Douglas","AZ"
"36",2021-10-06,3.117,3.371,3.612,3.26,"Tucson","AZ"
"37",2021-10-06,3.24,3.552,3.809,3.329,"West Valley","AZ"
"38",2021-10-06,3.236,3.477,3.712,3.261,"Yuma","AZ"
"39",2021-10-06,4.375,4.57,4.732,4.398,"Bakersfield","CA"
"40",2021-10-06,4.324,4.551,4.656,4.407,"Chico-Paradise","CA"
"41",2021-10-06,4.32,4.49,4.657,4.4,"El Centro","CA"
"42",2021-10-06,4.347,4.541,4.671,4.422,"Fresno","CA"
"43",2021-10-06,4.231,4.382,4.538,4.39,"Hanford-Corcoran","CA"
"44",2021-10-06,4.426,4.619,4.725,4.421,"Los Angeles-Long Beach","CA"
"45",2021-10-06,4.401,4.62,4.77,4.421,"Madera-Chowchilla","CA"
"46",2021-10-06,4.384,4.588,4.754,4.41,"Merced","CA"
"47",2021-10-06,4.29,4.48,4.652,4.4,"Modesto","CA"
"48",2021-10-06,4.635,4.764,4.903,4.57,"Napa","CA"
"49",2021-10-06,4.507,4.697,4.824,4.55,"Oakland","CA"
"50",2021-10-06,4.395,4.587,4.695,4.361,"Orange County","CA"
