"","date","regular","mid","premium","diesel","city","state"
"1",2023-02-14,3.701,3.977,4.164,4.353,"Anchorage","AK"
"2",2023-02-14,3.572,3.736,3.922,4.911,"Fairbanks","AK"
"3",2023-02-14,4.489,4.462,4.692,4.559,"Juneau","AK"
"4",2023-02-14,3.115,3.409,3.748,4.276,"Anniston-Oxford","AL"
"5",2023-02-14,3.123,3.478,3.868,4.3,"Auburn","AL"
"6",2023-02-14,3.102,3.484,3.864,4.381,"Birmingham","AL"
"7",2023-02-14,3.175,3.56,3.93,4.259,"Daphne-Fairhope-Foley","AL"
"8",2023-02-14,3.069,3.421,3.828,4.324,"Decatur","AL"
"9",2023-02-14,3.118,3.494,3.817,4.363,"Dothan","AL"
"10",2023-02-14,3.086,3.489,3.83,4.287,"Florence-Muscle Shoals","AL"
"11",2023-02-14,3.029,3.402,3.816,4.332,"Gadsden","AL"
"12",2023-02-14,3.164,3.511,3.859,4.362,"Huntsville","AL"
"13",2023-02-14,3.163,3.574,3.936,4.41,"Mobile","AL"
"14",2023-02-14,3.135,3.546,3.89,4.424,"Montgomery","AL"
"15",2023-02-14,3.096,3.485,3.803,4.252,"Russell County","AL"
"16",2023-02-14,3.079,3.445,3.865,4.271,"Tuscaloosa","AL"
"17",2023-02-14,3.099,3.441,3.737,4.004,"Fayetteville-Springdale-Rogers","AR"
"18",2023-02-14,3.127,3.479,3.869,4.055,"Fort Smith (AR only)","AR"
"19",2023-02-14,2.994,3.317,3.656,4.05,"Hot Springs","AR"
"20",2023-02-14,3.037,3.469,3.833,4.192,"Jonesboro","AR"
"21",2023-02-14,3.048,3.369,3.709,4.067,"Little Rock-North Little Rock","AR"
"22",2023-02-14,3.099,3.491,3.869,4.125,"Pine Bluff","AR"
"23",2023-02-14,3.089,3.433,3.755,4.188,"Texarkana (AR only)","AR"
"24",2023-02-14,3.136,3.529,3.935,4.37,"West Memphis","AR"
"25",2023-02-14,3.527,3.799,4.112,4.501,"East Valley","AZ"
"26",2023-02-14,3.59,3.849,4.101,4.609,"Flagstaff","AZ"
"27",2023-02-14,3.414,3.676,3.974,4.37,"Glendale","AZ"
"28",2023-02-14,3.655,3.792,4.039,4.718,"Lake Havasu-Kingman","AZ"
"29",2023-02-14,3.379,3.703,3.947,4.524,"Peoria","AZ"
"30",2023-02-14,3.436,3.727,4.012,4.482,"Phoenix Proper","AZ"
"31",2023-02-14,3.482,3.768,4.057,4.51,"Phoenix-Mesa","AZ"
"32",2023-02-14,3.204,3.467,3.731,4.468,"Pima County","AZ"
"33",2023-02-14,3.542,3.79,4.111,4.63,"Prescott","AZ"
"34",2023-02-14,3.729,4.028,4.275,4.706,"Scottsdale","AZ"
"35",2023-02-14,3.33,3.596,3.86,4.521,"Sierra Vista-Douglas","AZ"
"36",2023-02-14,3.202,3.478,3.743,4.461,"Tucson","AZ"
"37",2023-02-14,3.391,3.674,3.953,4.428,"West Valley","AZ"
"38",2023-02-14,3.426,3.737,4.005,4.645,"Yuma","AZ"
"39",2023-02-14,4.639,4.804,5.011,5.839,"Bakersfield","CA"
"40",2023-02-14,4.38,4.558,4.712,5.327,"Chico-Paradise","CA"
"41",2023-02-14,4.432,4.598,4.744,5.699,"El Centro","CA"
"42",2023-02-14,4.556,4.716,4.903,5.683,"Fresno","CA"
