"","date","regular","mid","premium","diesel","city","state"
"1",2024-03-09,3.793,3.702,3.925,4.087,"Juneau","AK"
"2",2024-03-09,3.678,3.79,4.031,4.035,"Fairbanks","AK"
"3",2024-03-09,3.66,3.906,4.138,3.793,"Anchorage","AK"
"4",2024-03-09,3.099,3.537,3.934,3.882,"Birmingham","AL"
"5",2024-03-09,3.125,3.527,3.882,3.831,"Huntsville","AL"
"6",2024-03-09,3.073,3.489,3.869,3.807,"Mobile","AL"
"7",2024-03-09,3.144,3.579,4.001,3.877,"Montgomery","AL"
"8",2024-03-09,3.056,3.49,3.888,3.868,"Tuscaloosa","AL"
"9",2024-03-09,3.07,3.43,3.793,3.813,"Anniston-Oxford","AL"
"10",2024-03-09,3,3.369,3.75,3.796,"Auburn","AL"
"11",2024-03-09,3.07,3.503,3.861,3.822,"Daphne-Fairhope-Foley","AL"
"12",2024-03-09,3.079,3.459,3.87,3.782,"Decatur","AL"
"13",2024-03-09,3.083,3.468,3.831,3.934,"Dothan","AL"
"14",2024-03-09,3.085,3.497,3.844,3.779,"Florence-Muscle Shoals","AL"
"15",2024-03-09,2.979,3.368,3.765,3.733,"Gadsden","AL"
"16",2024-03-09,3.08,3.47,3.845,3.947,"Russell County","AL"
"17",2024-03-09,3.147,3.49,3.792,3.578,"Fayetteville-Springdale-Rogers","AR"
"18",2024-03-09,3.014,3.413,3.805,3.675,"Little Rock-North Little Rock","AR"
"19",2024-03-09,3.038,3.552,3.912,3.777,"Pine Bluff","AR"
"20",2024-03-09,3.05,3.409,3.811,3.648,"Fort Smith (AR only)","AR"
"21",2024-03-09,3.064,3.443,3.832,3.819,"Texarkana (AR only)","AR"
"22",2024-03-09,3.019,3.499,3.857,3.696,"Hot Springs","AR"
"23",2024-03-09,3.039,3.461,3.853,3.756,"Jonesboro","AR"
"24",2024-03-09,3,3.459,3.84,3.695,"West Memphis","AR"
"25",2024-03-09,3.529,3.759,4.062,3.982,"Flagstaff","AZ"
"26",2024-03-09,3.648,3.984,4.263,3.968,"Phoenix-Mesa","AZ"
"27",2024-03-09,3.512,3.837,4.134,3.95,"Pima County","AZ"
"28",2024-03-09,3.363,3.729,3.963,4.252,"Yuma","AZ"
"29",2024-03-09,3.649,3.995,4.271,3.966,"Phoenix Proper","AZ"
"30",2024-03-09,3.625,3.966,4.236,3.894,"East Valley","AZ"
"31",2024-03-09,3.67,4.018,4.322,3.948,"West Valley","AZ"
"32",2024-03-09,3.726,4.039,4.314,4.136,"Scottsdale","AZ"
"33",2024-03-09,3.504,3.824,4.117,3.941,"Tucson","AZ"
"34",2024-03-09,3.685,4.046,4.343,3.942,"Glendale","AZ"
"35",2024-03-09,3.708,4.033,4.342,3.975,"Peoria","AZ"
"36",2024-03-09,3.497,3.783,4.095,3.978,"Prescott","AZ"
"37",2024-03-09,3.596,3.712,4.087,4.166,"Lake Havasu-Kingman","AZ"
"38",2024-03-09,3.435,3.694,4.002,4.013,"Sierra Vista-Douglas","AZ"
"39",2024-03-09,4.765,4.984,5.192,5.634,"Bakersfield","CA"
"40",2024-03-09,4.726,4.885,5.074,5.112,"Chico-Paradise","CA"
"41",2024-03-09,4.76,4.981,5.154,5.425,"Fresno","CA"
"42",2024-03-09,4.938,5.149,5.292,5.506,"Los Angeles-Long Beach","CA"
"43",2024-03-09,4.8,5.009,5.21,5.286,"Merced","CA"
"44",2024-03-09,4.677,4.928,5.13,5.311,"Modesto","CA"
"45",2024-03-09,4.911,5.145,5.3,5.423,"Oakland","CA"
"46",2024-03-09,4.89,5.106,5.241,5.335,"Orange County","CA"
"47",2024-03-09,4.676,4.846,4.99,5.058,"Redding","CA"
"48",2024-03-09,4.813,5.04,5.189,5.316,"Riverside","CA"
"49",2024-03-09,4.853,5.067,5.255,5.254,"Sacramento","CA"
"50",2024-03-09,4.952,5.131,5.353,5.573,"Salinas","CA"
"51",2024-03-09,4.919,5.139,5.295,5.346,"San Diego","CA"
