"","date","regular","mid","premium","diesel","city","state"
"1",2022-09-01,4.767,5.005,5.236,5.165,"Anchorage","AK"
"2",2022-09-01,4.586,4.805,5,5.678,"Fairbanks","AK"
"3",2022-09-01,5.143,5.141,5.349,5.59,"Juneau","AK"
"4",2022-09-01,3.37,3.759,4.067,4.756,"Anniston-Oxford","AL"
"5",2022-09-01,3.408,3.745,4.164,4.8,"Auburn","AL"
"6",2022-09-01,3.426,3.822,4.226,4.861,"Birmingham","AL"
"7",2022-09-01,3.46,3.879,4.305,4.823,"Daphne-Fairhope-Foley","AL"
"8",2022-09-01,3.406,3.799,4.115,4.816,"Decatur","AL"
"9",2022-09-01,3.471,3.856,4.204,4.856,"Dothan","AL"
"10",2022-09-01,3.351,3.742,4.11,4.767,"Florence-Muscle Shoals","AL"
"11",2022-09-01,3.373,3.71,4.136,4.814,"Gadsden","AL"
"12",2022-09-01,3.439,3.8,4.187,4.748,"Huntsville","AL"
"13",2022-09-01,3.425,3.951,4.311,4.841,"Mobile","AL"
"14",2022-09-01,3.421,3.849,4.252,4.851,"Montgomery","AL"
"15",2022-09-01,3.456,3.844,4.117,4.781,"Russell County","AL"
"16",2022-09-01,3.381,3.729,4.115,4.774,"Tuscaloosa","AL"
"17",2022-09-01,3.296,3.638,3.974,4.811,"Fayetteville-Springdale-Rogers","AR"
"18",2022-09-01,3.321,3.679,3.974,4.802,"Fort Smith (AR only)","AR"
"19",2022-09-01,3.278,3.633,4.022,4.721,"Hot Springs","AR"
"20",2022-09-01,3.236,3.618,3.902,4.789,"Jonesboro","AR"
"21",2022-09-01,3.266,3.635,3.938,4.707,"Little Rock-North Little Rock","AR"
"22",2022-09-01,3.384,3.821,4.196,4.812,"Pine Bluff","AR"
"23",2022-09-01,3.361,3.644,4.022,4.807,"Texarkana (AR only)","AR"
"24",2022-09-01,3.362,3.732,4.222,4.799,"West Memphis","AR"
"25",2022-09-01,3.987,4.336,4.602,4.963,"East Valley","AZ"
"26",2022-09-01,4.206,4.41,4.633,5.079,"Flagstaff","AZ"
"27",2022-09-01,3.933,4.245,4.501,4.925,"Glendale","AZ"
"28",2022-09-01,4.285,4.443,4.675,5.063,"Lake Havasu-Kingman","AZ"
"29",2022-09-01,3.995,4.345,4.611,4.969,"Peoria","AZ"
"30",2022-09-01,3.965,4.282,4.566,4.967,"Phoenix Proper","AZ"
"31",2022-09-01,3.996,4.324,4.593,4.968,"Phoenix-Mesa","AZ"
"32",2022-09-01,3.683,3.987,4.241,4.978,"Pima County","AZ"
"33",2022-09-01,4.125,4.387,4.68,5.103,"Prescott","AZ"
"34",2022-09-01,4.164,4.484,4.747,4.93,"Scottsdale","AZ"
"35",2022-09-01,3.989,4.272,4.524,5.107,"Sierra Vista-Douglas","AZ"
"36",2022-09-01,3.694,4.003,4.26,4.983,"Tucson","AZ"
"37",2022-09-01,3.954,4.28,4.536,4.933,"West Valley","AZ"
"38",2022-09-01,3.986,4.305,4.517,4.971,"Yuma","AZ"
"39",2022-09-01,5.342,5.54,5.73,6.425,"Bakersfield","CA"
"40",2022-09-01,5.049,5.281,5.394,6.163,"Chico-Paradise","CA"
"41",2022-09-01,4.974,5.174,5.38,6.326,"El Centro","CA"
"42",2022-09-01,5.221,5.446,5.588,6.331,"Fresno","CA"
"43",2022-09-01,5.162,5.385,5.501,6.311,"Hanford-Corcoran","CA"
"44",2022-09-01,5.253,5.455,5.581,6.317,"Los Angeles-Long Beach","CA"
"45",2022-09-01,5.154,5.407,5.635,6.249,"Madera-Chowchilla","CA"
"46",2022-09-01,5.147,5.375,5.566,6.342,"Merced","CA"
"47",2022-09-01,5.082,5.309,5.489,6.309,"Modesto","CA"
"48",2022-09-01,5.48,5.632,5.781,6.463,"Napa","CA"
