"","date","regular","mid","premium","diesel","city","state"
"1",2021-12-05,3.673,3.888,4.111,3.526,"Anchorage","AK"
"2",2021-12-05,3.797,3.942,4.064,3.627,"Fairbanks","AK"
"3",2021-12-05,3.658,3.649,3.859,3.379,"Juneau","AK"
"4",2021-12-05,3.02,3.348,3.698,3.352,"Anniston-Oxford","AL"
"5",2021-12-05,3.121,3.453,3.83,3.461,"Auburn","AL"
"6",2021-12-05,3.08,3.429,3.777,3.429,"Birmingham","AL"
"7",2021-12-05,3.128,3.477,3.803,3.364,"Daphne-Fairhope-Foley","AL"
"8",2021-12-05,3.041,3.385,3.698,3.41,"Decatur","AL"
"9",2021-12-05,3.129,3.474,3.772,3.488,"Dothan","AL"
"10",2021-12-05,3.033,3.384,3.689,3.395,"Florence-Muscle Shoals","AL"
"11",2021-12-05,2.999,3.339,3.665,3.381,"Gadsden","AL"
"12",2021-12-05,3.089,3.439,3.72,3.399,"Huntsville","AL"
"13",2021-12-05,3.129,3.481,3.816,3.439,"Mobile","AL"
"14",2021-12-05,3.13,3.5,3.827,3.436,"Montgomery","AL"
"15",2021-12-05,3.112,3.424,3.763,3.515,"Russell County","AL"
"16",2021-12-05,3.087,3.411,3.741,3.369,"Tuscaloosa","AL"
"17",2021-12-05,2.91,3.218,3.484,3.258,"Fayetteville-Springdale-Rogers","AR"
"18",2021-12-05,2.953,3.266,3.526,3.4,"Fort Smith (AR only)","AR"
"19",2021-12-05,2.989,3.297,3.629,3.279,"Hot Springs","AR"
"20",2021-12-05,2.929,3.301,3.572,3.402,"Jonesboro","AR"
"21",2021-12-05,2.946,3.255,3.549,3.338,"Little Rock-North Little Rock","AR"
"22",2021-12-05,2.957,3.367,3.603,3.448,"Pine Bluff","AR"
"23",2021-12-05,3.118,3.408,3.725,3.41,"Texarkana (AR only)","AR"
"24",2021-12-05,3.107,3.498,3.941,3.527,"West Memphis","AR"
"25",2021-12-05,3.866,4.16,4.435,4.062,"East Valley","AZ"
"26",2021-12-05,3.946,4.085,4.336,4.26,"Flagstaff","AZ"
"27",2021-12-05,3.856,4.17,4.404,4.071,"Glendale","AZ"
"28",2021-12-05,3.69,3.848,4.115,4.084,"Lake Havasu-Kingman","AZ"
"29",2021-12-05,3.835,4.123,4.387,4.006,"Peoria","AZ"
"30",2021-12-05,3.844,4.134,4.412,4.064,"Phoenix Proper","AZ"
"31",2021-12-05,3.864,4.157,4.429,4.075,"Phoenix-Mesa","AZ"
"32",2021-12-05,3.571,3.814,4.063,3.967,"Pima County","AZ"
"33",2021-12-05,3.724,3.867,4.153,4.125,"Prescott","AZ"
"34",2021-12-05,3.97,4.255,4.535,4.191,"Scottsdale","AZ"
"35",2021-12-05,3.622,3.819,4.067,3.864,"Sierra Vista-Douglas","AZ"
"36",2021-12-05,3.569,3.816,4.061,3.954,"Tucson","AZ"
"37",2021-12-05,3.846,4.144,4.388,4.036,"West Valley","AZ"
