"","date","regular","mid","premium","diesel","city","state"
"1",2022-07-18,5.273,5.622,5.797,5.892,"Anchorage","AK"
"2",2022-07-18,5.412,5.666,5.732,6.112,"Fairbanks","AK"
"3",2022-07-18,5.144,5.249,5.367,5.695,"Juneau","AK"
"4",2022-07-18,4.015,4.411,4.753,5.278,"Anniston-Oxford","AL"
"5",2022-07-18,3.97,4.378,4.688,5.221,"Auburn","AL"
"6",2022-07-18,4.118,4.532,4.911,5.287,"Birmingham","AL"
"7",2022-07-18,4.179,4.628,5.016,5.288,"Daphne-Fairhope-Foley","AL"
"8",2022-07-18,4.08,4.392,4.684,5.215,"Decatur","AL"
"9",2022-07-18,4.051,4.443,4.795,5.278,"Dothan","AL"
"10",2022-07-18,4.085,4.464,4.838,5.199,"Florence-Muscle Shoals","AL"
"11",2022-07-18,4.078,4.409,4.796,5.213,"Gadsden","AL"
"12",2022-07-18,4.102,4.482,4.812,5.263,"Huntsville","AL"
"13",2022-07-18,4.168,4.677,5.058,5.284,"Mobile","AL"
"14",2022-07-18,4.112,4.584,4.941,5.298,"Montgomery","AL"
"15",2022-07-18,3.931,4.377,4.552,5.284,"Russell County","AL"
"16",2022-07-18,3.938,4.273,4.655,5.139,"Tuscaloosa","AL"
"17",2022-07-18,4.148,4.498,4.806,5.183,"Fayetteville-Springdale-Rogers","AR"
"18",2022-07-18,4.263,4.714,4.902,5.199,"Fort Smith (AR only)","AR"
"19",2022-07-18,4.128,4.513,4.81,5.145,"Hot Springs","AR"
"20",2022-07-18,3.946,4.378,4.667,5.287,"Jonesboro","AR"
"21",2022-07-18,4.038,4.426,4.729,5.086,"Little Rock-North Little Rock","AR"
"22",2022-07-18,4.182,4.622,5.008,5.018,"Pine Bluff","AR"
"23",2022-07-18,4.11,4.42,4.74,5.215,"Texarkana (AR only)","AR"
"24",2022-07-18,4.188,4.557,4.979,5.287,"West Memphis","AR"
"25",2022-07-18,4.907,5.267,5.529,5.483,"East Valley","AZ"
"26",2022-07-18,4.912,5.08,5.331,5.688,"Flagstaff","AZ"
"27",2022-07-18,4.817,5.214,5.476,5.508,"Glendale","AZ"
"28",2022-07-18,4.902,5.061,5.347,5.592,"Lake Havasu-Kingman","AZ"
"29",2022-07-18,4.92,5.309,5.55,5.625,"Peoria","AZ"
"30",2022-07-18,4.857,5.212,5.464,5.519,"Phoenix Proper","AZ"
"31",2022-07-18,4.893,5.252,5.51,5.531,"Phoenix-Mesa","AZ"
"32",2022-07-18,4.593,4.926,5.163,5.624,"Pima County","AZ"
"33",2022-07-18,4.866,5.105,5.423,5.678,"Prescott","AZ"
"34",2022-07-18,4.976,5.323,5.572,5.51,"Scottsdale","AZ"
"35",2022-07-18,4.694,5.004,5.243,5.534,"Sierra Vista-Douglas","AZ"
"36",2022-07-18,4.598,4.926,5.165,5.612,"Tucson","AZ"
"37",2022-07-18,4.867,5.258,5.501,5.558,"West Valley","AZ"
"38",2022-07-18,4.674,4.994,5.224,5.59,"Yuma","AZ"
"39",2022-07-18,6.08,6.3,6.474,6.776,"Bakersfield","CA"
"40",2022-07-18,5.709,5.97,6.072,6.512,"Chico-Paradise","CA"
"41",2022-07-18,5.733,5.964,6.145,6.646,"El Centro","CA"
"42",2022-07-18,5.855,6.065,6.22,6.648,"Fresno","CA"
"43",2022-07-18,5.768,6.003,6.119,6.514,"Hanford-Corcoran","CA"
"44",2022-07-18,5.96,6.175,6.286,6.708,"Los Angeles-Long Beach","CA"
"45",2022-07-18,5.691,5.9,6.185,6.5,"Madera-Chowchilla","CA"
"46",2022-07-18,5.861,6.108,6.299,6.847,"Merced","CA"
"47",2022-07-18,5.769,6.011,6.18,6.707,"Modesto","CA"
"48",2022-07-18,6.111,6.272,6.41,6.802,"Napa","CA"
"49",2022-07-18,5.913,6.137,6.273,6.795,"Oakland","CA"
"50",2022-07-18,5.854,6.09,6.189,6.597,"Orange County","CA"
"51",2022-07-18,5.891,6.019,6.157,6.627,"Redding","CA"
"52",2022-07-18,5.841,6.071,6.205,6.598,"Riverside","CA"
"53",2022-07-18,5.753,5.994,6.143,6.679,"Sacramento","CA"
"54",2022-07-18,6.015,6.22,6.401,6.921,"Salinas","CA"
"55",2022-07-18,5.904,6.083,6.231,6.588,"San Bernardino","CA"
"56",2022-07-18,5.878,6.102,6.226,6.561,"San Diego","CA"
"57",2022-07-18,5.951,6.172,6.309,6.818,"San Francisco","CA"
"58",2022-07-18,5.881,6.108,6.238,6.743,"San Jose","CA"
"59",2022-07-18,6.154,6.362,6.511,6.854,"San Luis Obispo-Atascadero-Paso Robles","CA"
"60",2022-07-18,5.825,6.017,6.196,6.693,"San Rafael","CA"
"61",2022-07-18,5.942,6.157,6.28,6.694,"Santa Barbara-Santa Maria-Lompoc","CA"
"62",2022-07-18,5.989,6.235,6.367,6.771,"Santa Cruz-Watsonville","CA"
"63",2022-07-18,5.875,6.082,6.214,6.71,"Santa Rosa","CA"
"64",2022-07-18,5.792,6.002,6.14,6.698,"Stockton-Lodi","CA"
"65",2022-07-18,5.798,6.016,6.149,6.677,"Vallejo-Fairfield","CA"
"66",2022-07-18,5.952,6.186,6.313,6.678,"Ventura","CA"
"67",2022-07-18,5.939,6.11,6.287,6.685,"Visalia-Tulare-Porterville","CA"
"68",2022-07-18,5.753,5.933,6.164,6.609,"Yolo","CA"
"69",2022-07-18,5.752,5.964,6.143,6.701,"Yuba City","CA"
"70",2022-07-18,4.813,5.205,5.551,5.433,"Boulder-Longmont","CO"
"71",2022-07-18,4.82,5.188,5.47,5.389,"Colorado Springs","CO"
"72",2022-07-18,4.734,5.112,5.423,5.364,"Denver","CO"
"73",2022-07-18,4.759,4.962,5.255,5.573,"Durango","CO"
"74",2022-07-18,4.732,5.064,5.361,5.41,"Fort Collins-Loveland","CO"
"75",2022-07-18,4.952,5.28,5.426,5.51,"Glenwood Springs","CO"
"76",2022-07-18,4.824,5.11,5.388,5.401,"Grand Junction (CO only)","CO"
"77",2022-07-18,4.608,4.966,5.253,5.24,"Greeley","CO"
"78",2022-07-18,4.9,5.244,5.559,5.52,"Pueblo","CO"
"79",2022-07-18,5.039,5.419,5.604,5.552,"Vail","CO"
"80",2022-07-18,4.666,5.171,5.562,5.876,"Bridgeport","CT"
"81",2022-07-18,4.44,4.958,5.297,5.706,"Hartford","CT"
"82",2022-07-18,4.637,5.119,5.582,5.886,"Lower Fairfield County","CT"
"83",2022-07-18,4.49,4.981,5.306,5.694,"New Haven-Meriden","CT"
"84",2022-07-18,4.499,5.022,5.301,5.678,"New London-Norwich (CT only)","CT"
"85",2022-07-18,4.443,4.926,5.247,5.681,"Windham","CT"
"86",2022-07-18,4.673,5.252,5.581,5.761,"Washington (DC only)","DC"
"87",2022-07-18,4.525,5.04,5.346,5.583,"Washington (Entire Metro Average)","DC"
"88",2022-07-18,4.412,4.816,5.112,5.474,"Dover","DE"
"89",2022-07-18,4.407,4.762,5.078,5.426,"Milford-Seaford","DE"
"90",2022-07-18,4.441,5.032,5.224,5.5,"Wilmington-Newark (DE only)","DE"
"91",2022-07-18,4.215,4.647,4.948,5.338,"Bradenton-Sarasota-Venice","FL"
"92",2022-07-18,4.069,4.489,4.84,5.309,"Crestview-Fort Walton Beach","FL"
"93",2022-07-18,4.147,4.56,4.908,5.437,"Daytona Beach","FL"
"94",2022-07-18,4.369,4.848,5.148,5.458,"Fort Lauderdale","FL"
"95",2022-07-18,4.303,4.747,5.023,5.38,"Fort Myers-Cape Coral","FL"
"96",2022-07-18,4.333,4.724,5.078,5.455,"Gainesville","FL"
"97",2022-07-18,4.262,4.614,4.982,5.409,"Homosassa Springs","FL"
"98",2022-07-18,4.22,4.641,4.992,5.371,"Jacksonville","FL"
"99",2022-07-18,4.218,4.601,4.916,5.443,"Lakeland-Winter Haven","FL"
"100",2022-07-18,4.075,4.501,4.864,5.432,"Melbourne-Titusville","FL"
"101",2022-07-18,4.358,4.806,5.056,5.423,"Miami","FL"
"102",2022-07-18,4.5,4.943,5.226,5.468,"Naples","FL"
"103",2022-07-18,4.152,4.548,4.911,5.47,"Ocala","FL"
"104",2022-07-18,4.175,4.562,4.859,5.433,"Orlando","FL"
"105",2022-07-18,4.061,4.422,4.847,5.163,"Panama City","FL"
"106",2022-07-18,4.187,4.596,4.969,5.33,"Pensacola","FL"
"107",2022-07-18,4.301,4.73,5.103,5.51,"Port St. Lucie","FL"
"108",2022-07-18,4.168,4.684,4.964,5.299,"Punta Gorda","FL"
"109",2022-07-18,4.276,4.768,5.067,5.471,"Sebastian-Vero Beach","FL"
"110",2022-07-18,4.068,4.508,4.814,5.205,"Sebring","FL"
"111",2022-07-18,4.291,4.691,5.073,5.471,"Tallahassee","FL"
"112",2022-07-18,4.217,4.625,4.952,5.414,"Tampa-St. Petersburg-Clearwater","FL"
"113",2022-07-18,4.129,4.603,4.951,5.293,"The Villages","FL"
"114",2022-07-18,4.508,4.961,5.26,5.508,"West Palm Beach-Boca Raton","FL"
"115",2022-07-18,3.74,4.053,4.474,4.922,"Albany","GA"
"116",2022-07-18,4.105,4.436,4.793,5.206,"Athens","GA"
"117",2022-07-18,4.117,4.523,4.867,5.259,"Atlanta","GA"
"118",2022-07-18,3.948,4.381,4.743,5.131,"Augusta-Aiken (GA only)","GA"
"119",2022-07-18,4.127,4.596,4.896,5.333,"Brunswick","GA"
"120",2022-07-18,3.927,4.354,4.669,5.154,"Catoosa-Dade-Walker","GA"
"121",2022-07-18,3.85,4.249,4.595,5.135,"Columbus (GA only)","GA"
"122",2022-07-18,3.981,4.376,4.762,5.005,"Dalton","GA"
"123",2022-07-18,4.004,4.384,4.753,5.193,"Gainesville","GA"
"124",2022-07-18,4.121,4.611,4.974,5.127,"Hinesville-Fort Stewart","GA"
"125",2022-07-18,3.913,4.301,4.648,5.255,"Macon","GA"
"126",2022-07-18,4.002,4.419,4.771,5.171,"Rome","GA"
"127",2022-07-18,4.069,4.474,4.876,5.194,"Savannah","GA"
"128",2022-07-18,3.78,4.173,4.486,5.205,"Valdosta","GA"
"129",2022-07-18,3.704,4.068,4.408,5.094,"Warner Robins","GA"
"130",2022-07-18,5.633,5.853,6.168,6.119,"Hilo","HI"
